Protein IDs	Reporter intensity 1 PNNL SC Chip 1 C	Reporter intensity 2 PNNL SC Chip 1 C	Reporter intensity 3 PNNL SC Chip 1 C	Reporter intensity 4 PNNL SC Chip 1 C	Reporter intensity 5 PNNL SC Chip 1 C	Reporter intensity 6 PNNL SC Chip 1 C	Reporter intensity 7 PNNL SC Chip 1 C	Reporter intensity 8 PNNL SC Chip 1 C	Reporter intensity 9 PNNL SC Chip 1 C	Reporter intensity 10 PNNL SC Chip 1 C
P16615;O14983;Q93084	4217.1	7104.3	4711.4	4366.5	3574.6	6265.8	5482.6	7301.8	0	220990
P16949	2481.6	3424	3215.2	2247	3320.8	4320.1	3046.6	6002.2	0	208540
P17066;P48741	1467.2	1923.4	1932.7	1541.7	2452.7	1490.9	2345.9	2426.2	0	87543
P17096	1492.7	2101	2548.8	1768.9	1995.7	2054.5	1568.6	2200.9	0	85591
P17174	873.88	1025.4	543.66	507.42	1720.2	1442.3	1320.2	2061	0	57980
P17612;P22694;P22612	1245.7	1260.4	882.49	1343.5	1286.2	1483.5	1234.1	573.2	0	34121
P17655	711.15	1058.4	853.68	748.4	4812.7	1322.6	1288.6	1169	0	27755
P17812	0	489.17	701.11	657.46	488.08	643.83	752.18	674.64	0	20818
P17844	22875	34117	22000	24971	27528	31382	28730	55809	1405.2	1884000
P17858;P08237	1127.1	1868.5	2639.3	1514.8	3484.6	2710	1451	1764	0	61956
P17931	2718.9	4561.6	3700.9	5206.3	5059.7	4905.5	3384.4	8193.1	0	267360
P17980	0	0	0	0	0	0	0	0	0	0
P17987	5645.8	9736.2	8491	6279.7	9195.9	18927	7967.3	17866	0	483750
P18077	6650.8	12654	6008.4	7090.1	5212.5	24244	5372.3	15417	0	540610
P18085	0	0	0	0	0	0	0	0	0	0
P18124;Q9Y4A5	6947.3	9702.4	5737.6	4822.7	9256.9	5750.3	5335.3	15366	420.83	454320
P18206	10149	14778	10700	7904.1	15257	19941	10589	15102	0	539740
P18564	2321.9	2240.8	2320.1	2424.2	1512.6	2517.1	1897.9	3920.6	0	155420
P18621	6983.4	10816	7314.9	7496	6256.3	9055.3	8145.5	14508	271.88	524180
P18669;P15259;Q8N0Y7	4708.6	8154.2	12919	7903.7	7687.8	9146.1	11304	20802	342.12	652480
P18754	0	0	0	0	0	0	0	0	0	0
P19022	428.54	1556.2	1656.1	849.14	745.46	1093.5	1147.2	614.8	0	25924
P19338	7925.9	18520	15148	10766	12139	13140	17353	23885	314.36	1041200
P19367	867.26	1740.9	890.58	1250.9	1799.5	2188	2168.3	3080.2	0	113440
P19404	0	0	0	0	0	0	0	0	0	0
P19623	2269.9	3097.4	1537.9	2464.1	2772.6	2222.8	1560.5	2468.6	0	79307
P19878	1413.3	808.16	1217.8	1283.5	1516.8	1457.6	1364.1	3499.1	0	121880
P20042	2451.3	4331.2	3909.6	3954.9	3128.7	4623.7	4386.5	6504.6	0	165550
P20073	0	0	0	0	0	0	0	0	0	0
P20290	849.38	2011.1	1472.9	895.9	1284.3	1584.3	2530.3	961.77	0	34603
Q9NRW1;P20340;Q14964	1640.4	2319.8	2054.6	2230.1	3733.9	2850.3	1724.7	3542.6	0	109830
P20618	960.71	2536.2	3873.2	2651.1	5097.7	6288.1	5235.7	4230.2	351.32	109240
P20674	3081.5	5863.2	3470.9	3717.2	2798.9	6446.7	3804.3	5557.1	0	249310
P20700;Q03252	8405.7	25613	12345	22231	18902	17460	14343	25016	456.7	779350
P20962	1164.3	1770.6	1660.4	1037.2	2871.4	2211.2	1420.1	2908.2	0	84353
Q9UQ88;P21127	0	0	0	0	0	0	0	0	0	0
P21281;P15313	2072.4	2235	3826.9	2302	3179.6	4645.9	3634.4	4924.8	0	118030
P21283	440.14	540.77	942.27	551.24	978.82	775.73	816.08	1183.3	0	35398
P21291	0	344.05	533.25	827.17	585.34	980.05	2008.6	3018	0	105850
P21333	52906	77131	60275	50697	82722	112180	56378	123060	1690.1	3619900
P21397	1163.2	2076.4	623.59	388.3	980.64	1926.1	1737.6	3513.8	0	99500
P21796	14080	15543	15265	12883	15534	15553	18863	34407	0	1084000
P21912	1314	2531.1	2913.7	2540	3384	3784.8	2465.7	4338.5	0	116360
P22087	1842.1	4034.9	3421.4	5588.1	3024.6	5431.2	2614.1	5783.4	290.69	194250
P22102	0	0	0	0	0	0	0	0	0	0
P22234	1525.2	1890.5	953.08	935.71	840.08	1576.8	1485.1	4063.4	0	114380
P22307	2485.6	5104.6	3698.4	3815.6	9079.6	4808	5047.3	12738	424.78	421870
P22314	11562	21060	17010	14096	12276	23661	18547	24983	329.85	900360
P22392;O60361	28362	44753	23380	21680	19896	29458	18108	43015	1213.4	1263200
P22626	23884	39448	28458	26698	31773	41113	37603	72734	681.07	2206900
P22695	0	0	0	0	0	361.37	737.52	545.61	0	17788
P23193	957.4	1547.1	1447.2	1041.4	967.46	1272.9	1228.4	1752.2	0	38841
P23246	5042.3	9205	7736.5	7292.3	7723.6	9207.6	11016	16685	0	711710
P23284	4918.7	9034.3	7120.3	6857.3	7458.6	6206.2	9496.3	15018	385.06	364980
P23396	22519	39187	22792	21611	18505	30151	21337	45068	602.69	1594900
P23526	3714.7	4800.8	4259.8	3824.1	5193.9	7108.6	4092.7	5493.7	0	193440
P23528	35295	42466	25269	25352	20959	28369	26094	34999	992.74	1120800
P23588	0	327.7	454.08	0	489.61	334.46	563.61	547.64	0	26686
P23921	887.11	1251.2	660.92	431.69	394.59	1679.4	673.8	654.47	0	32175
P24534	9766.5	15676	9596.9	5993.4	7185.6	8071.7	7155.7	18065	0	504730
P24752	1250.9	3552.3	3906.4	3659.8	4699.4	3021	3092.4	4903.7	0	189460
P25205	690.95	0	857.01	688.14	558.71	1027.6	1057.7	1582.1	0	66015
P25398	11987	14923	15079	11351	9067.8	14072	22985	39544	1723.3	1346900
P25705;REV__O00522;REV__Q9Y5A7	18615	27656	23383	23233	26733	21659	46829	51067	1418.5	1789400
P25786	3869.2	6808.5	7362.5	6545.5	7071.2	7116.7	7452.5	10733	0	387580
P25787	5355.1	6515	7536.4	7052.6	7050.9	7835.2	9411.8	2452	0	40823
P25788	3327.8	5325.1	6551.2	3853.3	4900.1	5150.3	15064	7484.2	0	254520
P25789	3736.7	4119.5	3549	2174.1	4448.4	4705.7	3944.3	5520	0	164440
P26038	26218	22429	11597	14193	14806	15715	15905	36459	433.04	1273400
P26196	0	0	0	0	0	0	0	0	0	0
P26368	3805.3	5091.9	6718.1	4772.7	4612.2	3961.7	2880.8	4169.7	0	129950
P26373	12813	20189	15407	12588	9182	15924	11863	24416	418.32	793450
P26447	14407	19680	19198	27822	9133.1	15079	20388	38340	1248.1	1524300
P26599;O95758	3640.4	5079.9	5235.4	5349.5	4298	5805.8	8705.6	4701.1	0	121020
P26639	738.03	1768.9	1087.9	615.66	1054.1	1719.9	888.67	705.6	0	32136
P26640	418.89	685.05	682.54	371.66	726.05	659.08	353.55	394.83	0	11753
P26641	21600	28934	15007	15223	15490	23394	18476	28138	445.57	1078400
P26885	784.15	1239.6	2716	1107	1043.8	1270.6	1894.7	1180.4	0	34174
P27105	0	0	0	0	0	0	0	0	0	0
P27338	1399.6	1254.4	651.92	0	452.27	1109.3	2088.5	3744.3	0	112950
P27348	1501.4	3404.7	2614.2	1738.3	2571.5	3042.6	1838.6	3528.5	0	127750
P27635;Q96L21	6105.1	9240.9	6428.4	6423.8	5803.7	6549.6	6597.4	11838	0	484870
P27695	785.34	1268.2	1450.1	494.82	1567.8	3233.6	1319.1	1857.8	0	61530
P27708	0	0	0	0	0	0	0	0	0	0
P27797	9331.5	13178	11605	7905	9909.3	10228	13785	32680	0	1165300
P27816	0	0	0	0	0	0	0	0	0	0
P27824	5728.7	11431	8781.6	7477.8	8445.6	11228	9466.2	12025	287.14	413130
P28066	1639.4	2935.9	3123.5	2095	2854.1	4832.2	4822.2	8052.6	0	262360
P28070	1272.8	1045.8	786.3	980.61	1005.5	1309.4	906.62	2518.7	0	84312
P28072	2260.7	2699.7	2928.8	2103.3	2871	3422.3	2214	3386.6	0	137610
P28074	1711.9	6662.4	3468.6	6923	8404.8	5971.2	2204.9	3027.6	0	86580
P28300	0	0	0	0	0	0	0	0	0	0
P28331	1484	1733.7	2351.1	2226.3	2484.7	1452.6	2271.1	1951.9	0	50202
P28482	0	0	0	0	0	0	0	0	0	0
P28799	261.25	0	306.41	299.16	448.74	0	0	302.43	0	5965.7
P28838	827.64	685.71	680.85	734.99	1852.3	1088.7	712.67	1048.4	0	44182
P29350	2813.8	2765.8	4377.2	3880.2	4762.6	2761.6	3929.4	4821.8	0	162790
P29401	8909.4	12138	13922	14417	13437	13924	14198	24716	952.06	797150
P29692	7545.1	14895	8729.9	11803	10677	11599	17688	27157	1148.6	765780
P29966	510.82	587.6	697.64	485.91	1159.2	1017.1	375.94	597.48	0	20755
P30040	1029.7	3356.7	3316.1	2986.4	4475.3	3887	8860.7	3837.4	0	128270
P30041	523.85	1265.7	564.13	383.34	584.77	1119.3	373.26	1072	0	31080
P30044	3180.1	4282.1	3165.4	3094.4	4792.9	3395.6	3886.3	9528.1	0	359710
P30048	1853.1	1616.6	1731	1235.3	1803.3	2009.3	900.59	1361.7	0	38579
P30049	873.96	1643.3	694.92	959.29	806.5	1182.1	2302.4	4344.5	0	178820
P30050	5753.9	10369	6252.1	6345.2	5751.2	7998.7	4720.7	11192	0	316140
P30084	474.52	1337.1	496.22	691.07	831.9	680.76	1062.3	1241.7	0	38696
P30085	0	0	0	0	345.27	0	301.78	635.5	0	20792
P30086	0	0	0	0	0	0	0	0	0	0
P30101	19932	25775	34801	25827	25623	29231	38544	49670	1154.2	1856100
P30153;P30154	2248.6	4017.2	3079	2991.1	2808.3	3326.3	2568.5	3967.7	0	143790
P30419	550.82	743.58	354.89	712.61	1041.7	1154	1080.1	2483.4	0	60998
P30519	0	0	0	0	0	0	0	0	0	0
P30520	0	788.59	283.07	381	419.11	1294.2	547.81	790.99	0	26348
P30626	258.57	0	400.79	0	759.37	695.38	1109.1	1434.8	0	36277
P31040	1352.4	2898.8	3007.4	4303	2946.4	2345.9	2281.1	6348.7	0	172500
P31146	1822.4	4493	2872.8	7853.6	4712.7	2890.4	2707.8	5438	421.18	145690
P31153	362.62	558.88	393.08	0	645.27	372.55	0	922.55	0	25029
P31930	1458.2	3995.2	1900.1	1432.7	2617.8	2338	1923	4556.3	0	152360
P31939	1277.2	1787	1510.9	1233.5	1347.4	1732.3	2470.1	764.78	0	15676
P31943	5886.7	10266	9296.6	8735.7	9614.3	12215	9040.3	15883	357.61	502740
P31944	609.07	803.51	2287.7	827.53	4401.3	5162.2	769.73	426.25	0	10830
P31946	1641	3652.1	1749.5	2001.6	2277.8	2582.2	2666.9	2516	0	93334
P31947	1426.4	1728.1	908.87	1478.3	1170.3	1184.1	1225.4	2864.5	0	92312
P31948	7478.9	7943	9602.1	7465.5	10683	10813	6774.2	12060	0	423390
P31949	4775.1	5604.6	3427.6	3509.5	2253.4	3317.7	4920.8	10855	0	368660
P32004	0	0	0	0	0	0	0	0	0	0
P32322	334.31	796.98	535.01	561.51	576.31	747.88	801.09	1535.9	0	54164
P32969	0	0	0	0	0	0	0	0	0	0
P33991	1431.8	1578.6	1513.2	1663.3	1372.7	2235	1542.6	1266.9	0	33009
P33992	1494.5	2213.3	1016.2	1909.6	1867.7	5423	2639.3	4354.1	0	163780
P33993	0	0	0	0	0	0	0	0	0	0
P34897	16349	17013	20693	12065	14637	18979	13641	30705	0	983610
P34932	2303.2	5280.2	4184.9	4034.9	4131	5726.6	3863.7	5205.6	0	186220
P35221;P26232	1085.9	2238.9	1326.2	1560.4	1800.1	2728.4	2528.2	2613.3	322.43	62499
P35232	10857	15454	15976	12791	18154	20422	15739	26497	719.41	883630
P35241	1009.2	1880.5	1588.1	1047.1	1634.3	1924.4	1150.8	2543.6	0	84759
P35250	0	0	0	0	0	0	0	0	0	0
P35268	655.52	2391.1	1662.3	1887.5	1817.7	2834.9	2047.3	5150.5	0	98686
P35527;CON__P35527;CON__Q99456;Q99456	9729.3	12057	10425	10595	12503	150740	7717.4	10967	0	139010
P35579	73421	97442	40695	51913	66399	62900	55590	105240	1259	3774000
P35580	5172.9	7471.6	4795.3	5513.4	7892.3	6719.6	6870.7	10632	334.72	281080
P35606	2763	2825.4	3721.4	1788.7	2984.9	3713.6	4268.8	3431.1	0	114260
P35637;Q92804	5515.2	7778.3	5055.6	4826.5	6451.4	6737.3	9671.2	19639	558.72	737660
P35659	0	0	0	0	0	0	0	0	0	0
P35749	3379.5	3556.5	1026.8	1014.7	1672.9	3508	2310.6	5442.8	0	162170
P35998	3163.5	8597.3	4282	6278.2	3281.2	3269.4	3517.6	7762.2	0	208320
P36542	433.04	994	1127.4	806.38	1874.4	697.2	786.23	1000.2	0	36107
P36543;Q96A05	2487.1	4069.5	4566.7	3772.2	5412.3	7617	4165.8	5922.4	384.57	204340
P36551	0	550.02	437.92	441.09	715.81	725.41	0	665.88	0	18358
P36578	15430	21690	22963	16703	9523.2	15299	17894	41201	843.38	1353700
P36776	0	0	0	0	0	0	0	0	0	0
P36873;P62140	316.46	568.63	1005.3	442.91	803.58	776.21	691.31	550.57	0	30748
P36957	792.57	966.35	862.05	1434.7	1447.5	1450.2	1484	3604.4	0	91771
P37198	326.3	0	313.15	357.86	514.72	747.82	435.53	391.45	0	13247
P37802	7738.1	11076	6196.7	6884.4	4828.8	7463	4508.3	14738	681.91	411240
P37837	3161.8	4579.9	3449.1	5216.9	4413.6	4294.1	2362	5210.3	360.21	123860
P38117	1097.3	1438.2	1747.4	1583.1	3096.8	3679.6	1433.8	2466.8	0	109710
P38159;Q96E39;O75526;Q8N7X1	6082.9	8947.9	7410.7	7244.4	5946.1	8729.8	7799.5	13367	0	468660
P38606	2168.1	3349.6	2921.9	3708.5	5558.8	4651	5758.6	6816.7	0	185950
P38646	22937	33185	31195	23835	23975	34944	27906	55810	1882.4	1577000
P38919	1515.4	6712	2458.7	5473.3	2523.7	3911	4120.6	9859.9	345.62	307120
P39019	13045	24866	18992	19905	17015	23506	14810	20436	482.42	857320
P39023;Q92901	11182	19415	15635	10299	10904	15251	13601	25274	370.54	899590
P39656	4284.4	9665.7	5360.2	6659.3	6771.2	5580.9	6807.3	10583	0	386910
P39687;REV__Q9Y2X3;O95626;O43423	1235.6	2206.8	1870	2384.4	7481.7	1724.4	2519.8	3337.8	0	133700
P40121	0	0	0	0	0	0	0	0	0	0
P40227;Q92526	5755.7	9958.3	6498.7	6769.8	4464.3	7973.3	7834.1	13437	0	425730
P40394	0	0	0	0	0	0	0	0	0	0
P40429;Q6NVV1	9260.8	17530	9511.2	9892.7	10696	12476	5993.8	16938	0	544140
P40616	684.51	1684.6	1216.8	826.9	1477.2	1640.8	1116.6	801.28	0	42589
P40925	2037.7	3076.6	2373.5	1852.6	2207.4	2593.5	3147.6	4773.1	0	156030
P40926	17126	28746	17612	22615	24237	25979	28853	76361	1469.6	2332400
P40939	4830.9	5080.1	4373	4587	4869.5	5909.5	4569.4	8989.8	0	290340
P41091;Q2VIR3	1781.7	3105	1857.9	1849.3	3717.2	3054.9	2812.3	4968.7	0	135010
P41250	2040.6	4280	2200.2	1788.6	2069.2	3148.8	1102.6	3185.9	0	123790
P42167;P42166	1931.2	4415.1	1633	3270.8	2183.9	3451.7	2649.1	5006.4	0	138350
P42224	1128.7	1577.8	1792.2	1699.7	1487.4	1717.1	2563.8	957.98	0	40171
P42677	493.28	1244.7	992.93	741.51	1851.4	1818.1	851.26	1855.4	0	49507
P42765	0	0	0	0	0	0	0	0	0	0
P42766	5411.8	9382.8	7517.8	5029.9	6712	5692.8	3948.7	9474.7	352.39	265230
P43243	1766.2	4488.1	4117.9	2126.4	4815	6581.6	2711.3	3523	0	118750
P43304	668.57	733.65	802.54	548.81	681.11	881.22	1505.1	626.04	0	12742
P43307	3262	4600.4	3658.8	4472	3307.3	4431.5	4481	8521.9	379.93	337960
P43487	3357.6	4197.6	2736	2711.9	1884.1	4429.2	3304.9	7622.4	0	265430
P43686	2692.8	4567.2	3848.1	3187.3	6298.3	4664.5	5432.8	6090.3	0	234880
P43897	0	0	0	0	0	0	0	0	0	0
P45877	0	0	0	0	0	0	0	0	0	0
P45880	9897.7	15303	11915	13692	11628	20230	20109	29279	318.85	1058100
P45973	1022.5	1371.9	876.16	769.5	1335	533.73	1387.5	2963.3	0	84284
P45974	1104.1	2633.7	2091.3	1676.1	2252	3041.9	1938.3	3795.7	0	112880
P46013	0	0	0	0	0	0	0	0	0	0
P46060	462.87	438.5	399.29	348.71	440.38	0	509.75	1132.6	0	23535
P46459	864.06	1414.9	1182.8	1645.5	1909.2	903.96	1608	1010.4	0	53530
P46776	5281.4	6757.9	5818.8	4403.9	5198.4	5779.2	5822	13906	554.48	399900
P46777	13515	23310	16180	18087	19739	16370	12953	31756	799.52	939310
P46778	974.72	2007.4	1204.6	1037.2	1359	1017.3	2227.5	8693.8	479.32	191290
P46779	7876.9	12883	6636.7	8786.9	6416.2	9338.3	6038.4	10448	0	404410
P46781	16431	26137	17576	16479	14193	18601	20103	33226	996.51	1162900
P46782	14807	29042	22471	22897	33072	33535	17423	17318	589.97	581870
P46783;Q9NQ39	6469.6	11126	5757.2	7046.8	10538	10927	6764.1	13182	0	364600
P46940	5408.6	9122.9	7924.3	7305.3	6595.2	8016.4	7639	9244.6	275.22	260850
P46977	4658.2	8026.6	6828.2	6034.4	27355	10284	8901.1	13022	391.44	511160
P47755	4727.9	7602.6	5675.4	4211.6	4778.9	6414.9	3863.7	6419	0	217600
P47756	2066.1	2859.4	2790.6	1677.4	3313.9	5191.6	3352.5	8355	0	257620
P48047	681.77	686.89	540	724.05	325.44	587.57	943.07	1124.4	0	47871
P48147	0	0	0	0	0	0	0	0	0	0
P48444	449.79	1051	471.02	0	560.22	1059.2	531.42	1186.3	0	40845
P48643	5045	10336	7492.4	5827.2	7941.3	6875.2	7018.8	8455.4	286.48	302790
P48735	5151	12672	7120.5	36141	39676	10369	8998.9	18570	0	723870
P49006	781.73	1132.3	1124.7	878.84	1704.8	864.74	913.54	711.72	0	27002
P49189	0	0	0	0	0	0	0	0	0	0
P49207	7422.3	8932.1	5304	4427	4164.9	5246.6	2439.5	4362.5	0	154660
P49257	0	0	0	0	0	0	0	0	0	0
P49321	329.16	373.71	0	0	411	703.92	597.86	699.46	0	19087
P49368	18906	27415	22595	20720	27555	29537	25019	31104	815.9	1039300
P49411	2802.5	4441.8	3879.8	3224.1	3088.7	4905.7	4005	7376.2	0	265230
P49588	2589.5	3922.4	2467.1	1525.1	1451.9	2440.7	2892.3	4563.8	0	164510
P49591	5476.5	10658	7872	8548.6	9337.8	8476.6	5876.3	7001.3	0	310340
P49720	1007.2	2198.1	3085.4	1629.5	2347.2	2224.4	2294	1312.8	317.26	41270
P49721	2269.5	5104.5	4453	3330.6	4119.6	6233.2	3629.9	6811.8	0	214510
P49736	2953.4	8520.4	4968.9	6870.3	11094	10420	4834.4	8943.9	0	251900
Q86TX2;P49753	1063.1	1569.6	966.37	1213.5	914.27	1353.2	888.26	1375.8	0	49616
P49756	323.86	977.39	1029.8	546.34	1092.5	3617.5	358.59	507.23	0	19636
P49773	858.89	1459.2	962.2	1021.2	958.52	817.87	1402.9	2074.6	0	71237
P49821	606.46	742.18	943.72	782.6	1044.3	1546.7	1032.5	886.29	0	36789
P49915	0	0	0	0	0	0	0	0	0	0
P50213	2806	3661	2929.5	2471.5	4599	5066	3780.3	8140.4	0	252160
P50238	0	0	0	0	0	0	0	0	0	0
P50395;P31150	5155.6	5990.2	4891.2	5026.3	5062.2	6479.9	6498.6	10140	327.56	300060
P50440	0	0	0	0	0	0	0	0	0	0
P50454	16605	28807	11923	11036	13783	20960	15699	44695	1305.7	1464800
Q8IZP2;P50502;Q8NFI4	4682.9	7038.4	5689	3228.5	4112.2	5657	6941.3	11921	0	443730
P50552	599.41	1172.9	812.14	1177.7	728.99	1092.6	1602.1	645.69	0	48766
P50914	2528.8	2994.3	2164.6	1605.1	1148.2	1692.2	1231	1191.1	0	41724
P50990	16123	18632	17960	22515	12357	16802	18946	13577	979.8	452540
P50991	6803.1	13660	8909.2	8620.1	8394.8	10768	8751.3	21172	0	651860
P51114;Q06787;P51116	1959.7	4617.6	1855	1831.4	1614.3	3369.5	2893.2	5822.7	0	165050
P51148;P61020;P20339	0	0	0	0	0	0	0	0	0	0
P51149	9134.4	12435	8855.1	10181	9186.4	11059	9726.7	15517	260.46	528700
P51571	6081	6894.2	8235.7	3806.8	6044.9	7269.7	4561.8	5173.4	203.48	147020
P51572	0	0	0	0	0	0	0	0	0	0
P51610	0	461.83	432.77	0	760.24	328.76	342.93	504.14	0	16758
P51659	0	0	0	0	0	0	0	0	0	0
P51665	0	0	436.15	320.35	523.95	447.36	0	0	0	2701.4
P51858	2530.7	3542.3	4169.9	3733.1	5386.3	5227.9	4872.8	3801.8	0	161660
P51991	2225.9	3613.7	2664.1	2623.4	4200.3	4084.5	2984.7	4952.7	0	191700
P52209	2848.5	5602.2	9555.7	12571	7674.1	8829.3	7209.9	11040	0	425860
P52272	10947	15793	12223	10447	11146	12475	17236	37926	363.95	1154400
P52434	0	0	0	0	0	0	0	0	0	0
P52565	27836	39721	34958	32354	22925	33038	10701	24779	1376.1	458120
P52566	3813.7	7207.1	8520.3	5538.3	12779	6181.8	3903	4971.2	0	178350
P52597	18812	6372	7577.7	4045.1	3165.1	4738.2	5467.4	12072	516.51	487450
P52789	402.13	299.58	337.89	562.42	0	382.32	395.39	730.64	0	25031
P52907	954.12	1563.3	1554.4	1227.8	1797.2	1134.6	1430.6	1671.2	0	39467
P52926	0	0	0	0	0	0	0	0	0	0
P53367	0	0	0	0	0	0	0	0	0	0
P53597	626.37	1594.7	1612.7	1199.7	2663.9	1803.9	817.15	2981	0	61504
P53618	1496	1705.8	1370.9	1499.6	1082.9	1674.5	1724.5	1114	0	55417
P53621	1002.5	2359	1892.1	1528.5	2810.9	4799.1	2609.7	2517.6	348.89	74824
P53680	2337.8	3730.2	2738.5	4254.8	3894.3	3595.8	1468.3	3926.2	0	114880
P53999	848.17	1359.8	973.4	941.25	1340.2	1126.8	1298.6	1288.3	0	50714
P54136	1623.8	3038.1	2248.4	1958.3	3192.3	2521.8	2467.1	4880.4	0	181730
P54577	406.69	829.89	517.42	579.47	0	727.48	1445.5	1328.1	0	47118
P54578	343.31	786.58	911.19	541.28	1267.8	1279.7	0	600.95	0	16377
P54727;P54725	2370.4	4456.4	3127.4	3419.3	3834.7	5411.3	5033.2	9555.4	0	290850
P54819	1204.7	2042.2	900.8	1979.8	2092.2	5105.8	1588.8	2620.4	0	87058
P54886	5583.2	11611	12315	8747.2	13167	18078	10406	14581	0	428260
P54920	0	0	0	0	0	0	0	0	0	0
P55036	0	554.66	453.99	0	278.31	295.63	349.81	1302.4	0	20123
P55060	1595.4	16661	2925.2	3759	1827.5	2063.5	1553.8	3116.1	0	81838
P55061	0	0	0	0	0	0	0	0	0	0
P55072	20683	28162	27529	19140	32907	30411	30271	48053	1135.6	1618600
P55084	0	0	0	0	0	0	0	0	0	0
P55145	1730.2	1141.5	1276.1	911.66	2224.5	2104.5	2409.4	4732	0	157720
P55209;Q99733	7423.5	9652.1	7422.1	10839	6364.3	8014.8	7154	7664.7	0	236780
P55327	0	0	0	0	0	0	0	0	0	0
P55735	0	0	0	0	0	0	0	0	0	0
P55769	3829.7	6050.2	5399.7	6481.5	7039.8	5948	4417.1	8620.1	0	212610
P55795	0	0	0	0	0	0	271.95	0	0	5339.1
P55809	1430.1	3156.6	1952	2021.4	2927.1	3945.5	2483.1	5274.5	0	179230
P55884	6693.5	4410.7	3244.1	2014.5	4090	3520.2	3985.4	6363.6	0	186010
P56192	291.68	613.62	1252.6	538.99	757.69	971.56	527.75	1128	0	30140
P56211	0	0	0	0	0	0	0	0	0	0
Q5VTU8;P56381	1205.3	2884.7	1833.5	1631.3	1893.3	3378.3	1804	2285.3	0	100900
P56537	0	0	0	0	0	0	0	0	0	0
P56556	0	0	0	0	0	0	0	0	0	0
P59998	4078.6	6789.5	3415.5	4876.8	7451.9	2934.3	4547.7	6262.9	0	206850
P60174	10101	17706	21453	16678	15690	14317	15035	35069	299.47	1224300
P60228	1191	3444.3	3403.1	3345.4	3939.4	5785.1	3057.3	4456.5	0	140070
P60468	0	0	0	0	0	0	0	0	0	0
P60510	0	0	0	0	0	0	0	0	0	0
P60660;P14649	9734.5	12712	5979.3	6388.2	7415.1	10584	9966.4	18659	699.88	656240
P60709;Q6S8J3;Q562R1;A5A3E0;P0CG38;P0CG39;Q9BYX7	120010	152620	74319	81773	78005	100700	79410	195930	3998.2	7031600
P60842	24181	36757	25068	18787	18018	33045	22439	41245	800.96	1340800
P60866	2022.7	3347	1270.6	2364.1	2838.2	2456.1	2012.3	4735	275.88	167200
P60900	2843.5	4503	5429.5	2814	6788.4	8078.9	6006.1	9982.8	0	317010
P60903	2617.1	3058.1	2859.5	3352	4359.9	3638	9225.7	14052	302.29	544750
P60953;P17081;Q9H4E5	2652.8	2320.8	3080.6	2944.2	2625	4780.2	1721	4395.2	0	154080
P60981	492.24	1678.3	809.31	6097.7	1382.6	1800	1280.1	3707.4	0	89497
P61009	1369	1519.9	1276.3	1165.2	1296.7	2192.5	1327.5	3761.8	0	103760
P61011	0	0	0	0	0	0	0	0	0	0
P61019;Q8WUD1	1027	1345.8	1772.5	2079.6	2248.8	1965.3	2819.2	3597.6	0	127370
P61026	261.75	464.55	267.35	397.85	0	0	0	816.53	0	16652
P61081	0	0	0	0	0	0	0	0	0	0
P61086	0	0	0	0	330.27	979.02	249.89	0	0	12789
P61088;Q5JXB2	3242.7	5093.5	4210.6	2869.4	4602.1	4258.5	4051.9	6763.6	0	236800
P61106	2162.8	3951.2	3137	5570.5	3815.6	6208.1	2028.5	6307.6	0	153300
P61158;Q9P1U1	1995.6	2367.9	3201.6	2331.4	2750.3	2811.4	3930.4	7262.4	0	219210
P61160	1147.9	1571.6	941.3	1178.4	1063.3	1881.6	672.81	1590	0	34855
P61163;P42025	0	587.84	573.31	771.64	828.23	521.83	0	307.36	0	14680
P61201	0	0	0	0	0	0	0	0	0	0
P61204;P84077;P84085	3437.7	6077.3	5158	4176.4	5599.6	4251.2	5522.5	8692.3	0	205220
P61221	372.16	774.45	748.65	1052.8	534.55	588.34	589.22	888.96	0	24921
P61224;P62834;A6NIZ1	3358	4289.5	5394.6	4514.1	7480.7	6525.4	4797.3	10151	0	317510
P61247	82415	114410	75897	71016	62648	112820	38920	49741	1814.2	1318200
P61254;Q9UNX3;Q2PPJ7	7761.9	32719	17440	8226.3	17795	8848.8	8055.5	13799	386.68	423360
P61289	897.22	1644.9	1326.9	1335.7	3103.5	1288.3	1261.9	789.57	0	44536
P61313	13860	20432	17150	15315	14311	21772	9587.2	23308	853.83	707440
P61326;Q96A72	733.13	1820.4	1310.1	1161.6	1922.6	2021.6	2651.6	4170.1	0	164390
P61353	5777.5	10018	7534	7208.5	8529	6747.1	6154.5	15271	0	502560
P61421	1135.7	1791.2	1818.4	1490.2	3288.7	2791.2	1604.2	1942.1	0	87590
P61513;A6NKH3;P17405	1508.9	3106.6	3211.3	1925	4777.5	4339.2	5827	10985	0	349670
P61604	13448	26646	8640.4	10877	11878	13254	9787.2	22368	349.38	1002200
P61619;Q9H9S3	4520.7	7790.5	3864.8	3997.5	5202.1	7146	3906.6	7186.5	0	255800
P61626	0	0	0	0	0	0	0	0	0	0
P61803	1606.2	2559.8	2317.5	1961.6	2976	3490	3431.4	4062.4	0	119840
P61916	556.29	453.46	909.36	0	560.32	1002.3	1443.2	2849.4	0	99999
