Protein IDs	Reporter intensity 1 PNNL SC Chip 1 B	Reporter intensity 2 PNNL SC Chip 1 B	Reporter intensity 3 PNNL SC Chip 1 B	Reporter intensity 4 PNNL SC Chip 1 B	Reporter intensity 5 PNNL SC Chip 1 B	Reporter intensity 6 PNNL SC Chip 1 B	Reporter intensity 7 PNNL SC Chip 1 B	Reporter intensity 8 PNNL SC Chip 1 B	Reporter intensity 9 PNNL SC Chip 1 B	Reporter intensity 10 PNNL SC Chip 1 B
P15586	542.9	314.24	1845.2	1092.2	1402	754.65	1387.8	2794.3	0	72416
P15880	42828	15074	36535	37638	63988	29474	34958	49852	1089.9	1877700
P15924	0	0	0	0	0	0	0	0	0	0
P15954	1212.7	0	761.19	991.78	1338	646.11	902.64	1872.9	0	73346
P16219	0	0	343.86	0	509.86	295.93	0	569.86	0	12844
P16401	2400.9	0	2289.5	1848.5	2837.4	2210.5	2432.1	3043.9	0	128180
P16435	929.49	665.21	1288.4	1185.3	1959.5	1110.2	1864.9	3610.8	0	78268
P16615;O14983;Q93084	4241.1	5279.1	4162.5	5232.8	7140.6	5386.8	6637.9	8521	0	294860
P16949	2902.3	1644.7	4697.8	3598.9	4480.6	3905.9	4155.2	5593.1	0	225100
P17066;P48741	2499.9	379.73	1770.1	1870.7	3245.7	1292.8	1629.4	4155.8	0	150710
P17096	1280	445.35	2323.6	1872.1	3429.4	1843.7	1611	2902.4	0	92073
P17174	2258.4	453.69	1601.1	1388	2594	1866.4	1611.5	1366.9	0	45985
P17612;P22694;P22612	2715.8	1110.1	2760.8	2964.7	2258.9	1436.8	2964.3	3965.5	0	109890
P17655	0	567.87	517.1	877.8	3235.3	518.39	395.17	1389.3	0	34070
P17812	0	0	885.45	894.26	1315.4	849.62	602.55	746.68	0	34199
P17844	31184	18835	28683	36093	51024	30470	33653	67669	2316.9	2066500
P17858;P08237	7482.4	3763	8149.4	6972.9	11783	6005.2	4759.1	5938.6	0	154010
P17931	10831	5670.8	19642	22217	15452	14110	10557	13189	273.83	425710
P17980	1007.6	758.75	616.54	1012.1	447.88	466.68	344.43	308.31	0	26535
P17987	3640.1	1207.4	5497.1	4728.3	5896.5	3765.6	5301.7	11733	283.66	330410
P18077	4781.6	1075.3	2865.3	4034.4	4227.5	3379.3	4430	12547	0	470910
P18085	1242.6	3136.1	2370.6	888.77	1942.3	1170	1518.1	1643.1	0	88067
P18124;Q9Y4A5	16378	13925	15722	22437	21000	11823	12542	27090	311.76	896220
P18206	10237	4668	8149.9	8937.4	15180	8950.6	9559.6	15729	0	484610
P18564	0	0	0	0	0	0	0	0	0	0
P18621	8612.8	3177.4	8435.5	9005.9	13635	7478.9	9194.6	16584	0	509210
P18669;P15259;Q8N0Y7	5281.1	2002	8096.7	7786.9	6848.8	6500.6	6489.5	16519	0	539910
P18754	569.28	363.17	784.99	404.4	1062.8	721.84	802.69	869.42	0	31108
P19022	0	0	0	0	0	0	0	0	0	0
P19338	21165	6563.7	24409	13815	28475	16794	24652	45624	0	1524500
P19367	644.92	0	442.16	581.98	630.57	629.92	857.06	2028.9	0	59700
P19404	1633.6	843.72	2220.5	2219.3	2768.7	1638.4	1627.6	4049.5	0	105530
P19623	3179.5	1081.3	3368.1	3746.1	4084.2	3025.9	2831.5	2860.8	0	101440
P19878	1191.2	0	1409.8	923.63	2325.1	1133.8	1316.3	4329.1	0	115490
P20042	1983.9	587.14	2339.1	2492.2	2819.9	3021.2	3763.2	4922	0	150590
P20073	941.9	333.93	1460	1234.2	1878.7	1322.5	473.82	346.07	0	22721
P20290	2398.6	1942.5	3420	2017.3	5235.4	4068.6	8265.9	3290.2	0	116360
Q9NRW1;P20340;Q14964	1422.3	1237.4	1768.8	1392	4001.7	1729	2577.7	3907.2	0	105210
P20618	996.68	465.79	1575.6	1083.4	3879.6	2989.2	2503.6	1774	0	40009
P20674	1983.3	1580.1	1487.9	1232.8	2101.4	960.46	1316	2831.4	0	86314
P20700;Q03252	12193	11442	28128	16549	28320	11822	14368	23864	811.59	785230
P20962	1742.4	252.85	1029.5	2063.2	2183.5	1936.8	816.83	1777.4	0	68005
Q9UQ88;P21127	0	0	0	0	0	0	0	0	0	0
P21281;P15313	1673.5	1788.5	2595.1	2815.7	3208.5	3319.5	2644.8	2657.6	0	87166
P21283	659.54	457.7	880.71	688.12	977.06	903.93	591.39	1080	0	31046
P21291	889.72	455.97	940.84	1016.6	1893.2	1044.9	1094.9	4689.3	0	116340
P21333	108320	71217	109220	99176	134310	110410	119910	149060	4585.6	4540100
P21397	934.61	0	500.8	644.56	738.81	720.44	659.21	2068.6	0	50853
P21796	23641	13374	21704	23841	29619	23258	31244	45642	0	1593300
P21912	577.98	0	974.5	662.95	1021	594.02	1508.5	1483.4	312.2	79468
P22087	5152.9	2964.5	7028.7	6977.9	8303.7	4512.6	5719.5	8856.6	0	300010
P22102	785.21	1474.6	3437.2	913.63	1922.2	763.38	455.33	905.54	0	21492
P22234	2067.1	1134.5	2944.5	1801.9	2767.6	2260.1	1124.1	1063.9	0	36986
P22307	3538.9	1884.7	3780.2	3724.9	4597.6	3296.9	5354.2	10825	0	385180
P22314	10895	7002.6	11010	9395.9	15346	8075.2	11118	18910	422.82	552340
P22392;O60361	46844	10557	42129	31643	45863	34965	22108	30886	720.64	929170
P22626	37431	20394	34697	29823	43706	38002	36307	66224	1389.5	2258700
P22695	1472.6	295.4	1379.2	1739.6	2563.3	1528.7	1397.6	3699.3	0	110140
P23193	1760.6	710.76	750.76	625.96	747.68	745.1	599.71	1647.2	0	44688
P23246	11797	6961	13672	13985	20037	12360	17420	24626	1130.1	919690
P23284	9327.5	5222.7	8872.1	7615.3	11759	8771.8	10889	14535	987.04	497190
P23396	37740	13196	31086	33775	37501	28818	31304	56748	266.7	2059600
P23526	5572.5	2109.5	5728.7	7953.3	10101	6801.4	7015.8	10278	0	363130
P23528	45790	10020	27485	29689	28761	22761	27990	41891	381.23	1271600
P23588	0	259.37	0	0	0	0	822.16	726	0	36001
P23921	0	0	0	0	0	0	0	0	0	0
P24534	19704	4862.8	12438	9338.7	14560	9646.4	10433	26805	390.56	791050
P24752	4974.2	2967.3	8142.2	7649.8	10016	8383.9	8734.7	14544	769.63	515240
P25205	337.16	575.96	1430.5	523.46	2141.7	933.35	697.83	1973.3	0	63897
P25398	14856	5499.3	15399	13736	17614	15554	29482	47452	1914.3	1689100
P25705;REV__O00522;REV__Q9Y5A7	24797	11658	27605	27489	33870	25014	41310	70086	2517	2770400
P25786	5146.6	2897.2	8146.1	7564.8	7015.1	5479.5	5929.8	9955.4	0	404810
P25787	0	211.69	0	0	0	0	0	170.75	0	4616.5
P25788	3651.7	3182.4	3893.4	3544.3	4365.4	4147.7	5552.3	6717.8	0	242480
P25789	1719.9	389.62	1608.3	1928.5	2288.4	1757.9	2055	3018.9	0	101770
P26038	37791	8485.8	25496	28660	26916	24060	25725	51615	709.82	1811100
P26196	0	0	0	0	0	0	0	0	0	0
P26368	5040.1	3008.2	5717.1	5664	7134.6	5070.9	7040.2	10781	0	270420
P26373	22506	4026.9	18019	18356	20127	12655	15024	31476	533.84	1181200
P26447	16646	3860.1	36890	45831	12130	10268	20310	44848	1785.8	1655200
P26599;O95758	5058	2047.2	4604.3	4421.7	7364.3	4643	4492.6	3929.8	0	111990
P26639	1242.4	0	571.01	708.55	1127.5	303.43	738.84	1426.6	0	34237
P26640	507.3	428.63	782.57	314.16	1430.2	585.19	395.75	510.56	0	22098
P26641	39236	9518.5	21573	20920	29277	21312	26602	48955	1529.1	1706400
P26885	855.69	825.04	3712.4	1401.2	1039.2	829.26	1220	1726.7	0	37368
P27105	0	0	0	0	0	0	0	0	0	0
P27338	1807.8	0	273.37	517.96	778.51	741.55	817.99	3170	0	113940
P27348	3665.3	544.81	4043	2795.7	3760.3	2365.6	2184.9	5827.5	0	194150
P27635;Q96L21	7701.7	4593.8	15967	10161	10528	19064	9107.3	20674	495.16	653550
P27695	731.73	392.83	373.82	0	1143.5	412.15	434.78	1157.6	0	46745
P27708	376.14	336.16	587.08	640.56	988.37	734.16	710.55	1097.3	0	41171
P27797	17252	3719.5	16111	14153	16162	8558.3	17365	36274	1103.4	1469500
P27816	0	0	0	0	0	0	0	0	0	0
P27824	49730	7648.1	46820	36050	49167	43495	22781	34523	1515.3	859930
P28066	3197.8	1430.4	4511	2843.6	4330	3931.9	4469.1	8720.4	0	294180
P28070	0	0	0	0	0	0	0	0	0	0
P28072	2206.2	871.72	1697.6	1620.2	1394.8	1280.4	970.49	1842.5	0	86554
P28074	3059.5	1716.8	3009.4	3941.1	13172	3418.9	2761.5	3735.3	0	114030
P28300	380.84	335.42	279.67	361.11	625.68	0	548.45	413.39	0	15422
P28331	877.81	0	511.99	756.66	1469.5	907.85	1526.4	2200.7	0	60458
P28482	523.38	370.57	666.32	490.74	1218	637.44	0	1533.4	0	25010
P28799	0	319.91	337.36	0	0	0	0	0	0	7529.4
P28838	1546.1	523.99	1885.4	2012.1	3081.2	1711.4	2178	2999.6	0	111150
P29350	1624.3	0	2333.7	2079.6	1099.8	639.65	1289.8	1895.9	0	88121
P29401	10669	5558.1	17379	20048	14828	10896	15926	28234	380.97	918000
P29692	12576	16769	15221	30317	23866	17329	19887	32319	297.16	933020
P29966	1074.1	459.85	960.71	889.86	1189.3	390.64	533.37	1102.2	0	38933
P30040	2362.9	1705.8	3422	3061.9	6827.4	5237.1	6390.4	4001.5	0	168390
P30041	1424.3	851.91	1670.2	946.8	2038.1	1742.6	1441.4	2077	0	75644
P30044	6014	2323.8	4039.8	4973	5898.8	3536	6701	10908	0	458970
P30048	2508.2	421.53	2884.5	4735.6	3461	2757.1	1819.8	2486.7	0	120040
P30049	2079.8	0	872.73	1469.1	2043.8	1661.8	2521	5518.6	0	213310
P30050	22827	12283	20893	24286	19112	14027	13999	21015	356.78	690810
P30084	0	0	0	0	0	0	0	0	0	0
P30085	0	0	0	0	0	0	0	700.86	0	20931
P30086	0	0	0	0	0	0	0	0	0	0
P30101	36216	19942	35973	36556	36511	33508	43023	67249	2063.2	2404900
P30153;P30154	2622.4	1711.1	3717.6	4006.2	5066.3	2333.1	2537.8	5698.5	0	171640
P30419	916.25	0	1236.5	410.02	1477.6	1043.6	1035.7	2848.1	0	66793
P30519	803.5	0	474.06	862.91	945.9	549.81	707.94	1297.4	0	49172
P30520	0	0	0	0	0	0	0	0	0	0
P30626	329.7	0	0	0	0	0	704.74	556.52	0	24922
P31040	4639	2087.8	6463.9	5154.3	7621.3	4832.5	5964.9	12301	0	385170
P31146	3253.4	8238	6805.6	18067	7090.8	4228.4	4084.2	8524.6	309.17	238980
P31153	0	0	555.77	463.76	335.41	352.91	0	390.13	0	15529
P31930	1448.2	386.71	1435.1	1113.6	2238.5	1608.4	816.43	1989.8	0	96329
P31939	0	0	0	0	0	0	0	0	0	0
P31943	7681.8	3246.7	7439.6	8094.2	11325	7579.4	7852.6	14855	0	409210
P31944	0	0	0	0	0	0	0	0	0	0
P31946	3344.3	776.02	2567.4	2915.3	3405.9	1526	2283.2	3564.9	0	132520
P31947	1112.3	920.73	1741.9	1590.6	2139.4	1590.5	1247.4	3789.1	0	102370
P31948	13815	4993.9	11172	10879	18261	14335	14028	18378	0	638370
P31949	5310.3	1108.4	4440.2	5852.7	3136.9	3337.9	4171.4	8743.4	0	340350
P32004	0	0	0	0	0	0	0	0	0	0
P32322	801.66	0	0	663.43	695.55	532.72	634.39	978.85	0	41043
P32969	0	0	0	0	0	0	0	0	0	0
P33991	2184.5	1262.5	2653	2145.9	3963.8	2452.1	2669.3	2304.3	0	66699
P33992	720.63	0	1026.5	699.19	1381.1	619.5	1036.1	874.78	0	37819
P33993	393.53	279.14	381.57	269.95	898.9	505.11	340.77	581.36	0	21167
P34897	16417	6296.1	20801	13142	17787	10853	16778	28329	384.88	1005100
P34932	7889.5	1935	7922.5	7190.2	8193.1	6242	7382.5	10542	0	317610
P35221;P26232	363.35	0	373.68	440.16	619.58	481.62	0	682.87	0	11736
P35232	8816.8	4526.3	9533.1	9465.6	21920	17102	11263	22371	710.06	698440
P35241	1201.4	595.57	926.5	1482.2	1191.4	732	352.34	1870.3	0	36135
P35250	0	0	0	0	0	0	0	0	0	0
P35268	2582.2	1203.4	3836	3595.5	6162.2	3947.6	3112.4	6663.6	0	187430
P35527;CON__P35527;CON__Q99456;Q99456	13352	17058	18797	15359	22402	20600	22543	447.45	0	27393
P35579	129490	31627	66414	62191	123460	91243	79892	145920	3411.7	5156800
P35580	1435.3	1062.7	1887.7	948.01	3469.2	3032.9	2137.2	2923.2	0	98952
P35606	2587.1	2589.7	4097.3	4008.1	5428.6	2937.7	3408.2	5538.7	302.65	154260
P35637;Q92804	3835.6	653.11	2145.1	2715	4291.1	2716.7	4273.8	12153	0	460280
P35659	0	0	0	0	0	0	0	0	0	0
P35749	3924.2	1060.4	2120.4	1964.5	3454.5	2362.9	2416.2	5164.8	0	130110
P35998	630.04	383.8	1258.1	1404.5	1695.2	1561.4	650.97	1228.5	0	49148
P36542	764.9	699.78	1059.5	1036.6	1934	1059.6	845.93	1242.2	0	35085
P36543;Q96A05	3267.9	1297.9	3027.9	3071.6	5475.7	2854.3	2212.3	1854.6	375.89	45388
P36551	0	0	0	0	0	0	0	0	0	0
P36578	21011	7577.2	29628	19517	21105	14730	25007	50066	1045.3	1618600
P36776	7829.6	3623.4	5787.6	7122.5	4940.7	3015.1	4156.1	5141.8	0	183910
P36873;P62140	517.55	520.18	580.19	698.12	1271.1	944.34	842.63	960.3	0	31217
P36957	1032.7	631.23	1185.7	864.86	1742.6	650.09	1974.6	3962.1	0	114260
P37198	0	0	0	0	0	0	0	0	0	0
P37802	9234.6	2999.3	6891	6757	9258.9	5086.1	5304.9	10248	324.47	310580
P37837	6823.2	3502	9218	10133	7780.3	5065	6316.6	11721	334.08	286080
P38117	4559.9	1732.2	3647.1	3071	5416.2	3652.2	5133.8	9125.3	340.36	327830
P38159;Q96E39;O75526;Q8N7X1	13122	5848.4	12807	12554	16782	12347	10999	21393	382.05	603990
P38606	5294.5	2561.2	6950	6805.3	10141	20908	5983.9	10785	0	406930
P38646	29960	16082	37401	35118	45005	29951	41454	74142	1289.8	2257100
P38919	2442.5	4023.9	2986.1	5349.8	3612.2	2417.9	3596.4	10066	0	281170
P39019	15874	8489.8	16193	20328	15839	11155	15356	22941	910.85	996150
P39023;Q92901	17847	6466.2	16154	16632	20844	13455	17264	28078	667.79	1082200
P39656	7268.6	8974.3	9781.6	10586	10640	7014.8	9758	16404	305.79	551040
P39687;REV__Q9Y2X3;O95626;O43423	1021.3	666.14	2413.6	2265.9	3615.6	1711.5	1593.8	3770.4	0	135020
P40121	0	0	0	0	0	0	0	0	0	0
P40227;Q92526	10056	2685.9	10705	11240	11439	8737	10237	17107	331.14	619380
P40394	0	0	0	0	0	0	0	0	0	0
P40429;Q6NVV1	19400	7890.9	16596	16823	24942	22289	13192	28861	369.1	1005900
P40616	0	0	0	0	0	0	0	0	0	0
P40925	2499.4	1107.4	2380.2	2350	3238.6	2612.8	2664	4204.4	0	132750
P40926	26714	16402	28095	31227	42258	33742	35399	69268	1368	2311800
P40939	3043.4	307.22	2449	2557	5080.2	2831.7	3794.8	6097.6	0	249140
P41091;Q2VIR3	2173	1213.7	2440.7	3258.3	3722.5	2000.3	3589.8	7600.3	0	268520
P41250	3086.3	1160.2	1902.3	1758.3	2891.6	1604.5	2076.7	4554.4	0	136510
P42167;P42166	775.99	747.31	1000.3	932.27	2329	1561.6	1198.5	3597.2	0	104640
P42224	1566.1	434.78	1550.9	1741.4	1123.1	1013.8	1026.5	1996.9	0	64097
P42677	920.14	1759.4	856.98	1441.8	2519.7	1000.8	549.55	2492	0	60457
P42765	0	0	0	0	0	0	0	0	0	0
P42766	12415	2977	9778.8	8805.7	11318	8000.8	7625.5	17848	721.33	512620
P43243	1900.8	0	2181.8	2412.5	3643.5	2350.7	3079	3937.5	0	139040
P43304	0	0	0	0	0	0	0	0	0	0
P43307	5163.9	2778.7	5620.1	5185.7	8338.6	4405.9	7151.3	11383	0	413460
P43487	6380	1957.5	6180.4	5673.6	7338.4	6807.8	5258.3	7444.2	291.17	262760
P43686	5827	2652.6	8263.5	3758.1	12549	3960.6	4866.7	4237.6	0	173270
P43897	336.46	514.76	776	943.77	438.06	516.3	643.08	1666	0	43900
P45877	1112.7	1223.3	2105.4	1691.7	2593.8	3756.9	1448.9	2569.5	429.15	46767
P45880	12659	7436.6	17887	16767	17138	14875	23301	38065	1020.3	1326600
P45973	1395.1	767.55	1371.5	1593.9	4202.6	2292.6	1463.2	3844.6	0	134100
P45974	1797	318.98	2390.9	3535.8	3245.9	2510	1872.3	4251.2	0	121480
P46013	0	0	0	0	0	0	0	0	0	0
P46060	0	0	0	0	0	0	0	0	0	0
P46459	985.58	722.11	1480.6	1014.1	1089.7	1124.1	1541.7	2610.6	0	81189
P46776	5251.9	2019.1	4534.3	4394.1	5629.7	2881.4	3854.8	11772	586.66	318470
P46777	15044	7730.7	16701	16695	18497	12131	12415	26818	0	865660
P46778	1961.8	401.86	1129.8	1400.7	3012.6	1984.2	3760.6	18651	631.66	417750
P46779	8948.4	23745	8234.1	16868	25439	5910.3	6200.8	11935	0	431150
P46781	23910	8466.5	19921	21127	24498	17503	18023	34672	1250	1155800
P46782	24701	20078	30131	29158	44000	46884	18613	23483	1370.4	679920
P46783;Q9NQ39	11859	3641.9	11290	13081	12268	12807	5630.9	7194.1	0	197130
P46940	9613.9	5433.9	12891	13312	12652	10186	9457.5	16357	0	485660
P46977	8594.6	3940	8518	7996.5	18780	8485	11996	18422	0	611820
P47755	5177.6	2940	6323.2	6323.2	5946	5912.1	5653.8	8962.4	339.84	269780
P47756	4221.6	1707.4	3715.6	4314.3	4335.2	3531.3	4846.2	10266	0	330170
P48047	390.18	338.36	858.21	594	1299.3	601.06	1083.3	2388.1	0	60110
P48147	2218.9	819.26	2322.9	2303.1	2784	2828.4	1482.6	1669.4	0	58129
P48444	1994.6	668.4	2299.8	1352.3	2541.6	2279.2	1691.3	2342.4	0	77485
P48643	4719	2747.5	5081.7	5127.1	6069.9	4310.8	5653	7677.2	0	256910
P48735	6949.6	11609	9241.3	46695	47694	11564	11618	20358	0	725670
P49006	801.57	839.31	1531	1606.8	2460	1391.6	723.23	0	0	9754.1
P49189	0	0	0	0	0	0	0	0	0	0
P49207	5859.2	2437.7	6197.5	5521.8	9134.3	5099.8	6178.2	9611.7	0	413680
P49257	0	0	0	0	0	0	0	0	0	0
P49321	649.85	607.85	583.43	550.72	1711.4	1285.6	538.76	2092.7	0	62810
P49368	15059	7792.6	16037	18718	20900	14758	14426	29178	0	899770
P49411	3281.8	1333.9	3141.7	3533.7	4365.3	2719.8	3163.4	6850.8	0	296880
P49588	1312.2	444.73	613.62	1279	2393.8	1638	2411.5	3411.3	0	110010
P49591	6856.5	7868	6919.9	9861.7	10325	7100.4	7944.9	13580	0	408030
P49720	3574.7	1863.3	4740.8	5098.5	5001.1	3782.1	4657.1	4624.6	0	153090
P49721	3319.4	1132.2	2878.2	2465.4	2245.5	1903.3	2211.5	2147.1	0	80743
P49736	6115.8	4840.3	7519.6	8602.3	14290	7911.3	8290.9	11686	445.86	408890
Q86TX2;P49753	721.56	349.55	528.74	883.68	458.84	366.42	713.63	1837	0	66474
P49756	0	0	0	0	0	310.79	0	0	0	4655.2
P49773	851.34	339.27	1171.2	1040.9	1862.3	2234.2	1788.9	1974.3	0	59430
P49821	0	0	0	0	0	0	0	0	0	0
P49915	0	0	0	283.26	509.54	374.51	389.88	555.01	0	32755
P50213	3064.6	1437.6	2552.3	3376.3	5384.3	4002.3	5203.6	7329.9	0	248360
P50238	1236.8	457.85	1170.6	1988.4	1181.2	754.97	1627.1	3147.3	0	106660
P50395;P31150	9366.7	5362	11494	9971.9	13587	10709	11286	13127	362.18	493270
P50440	1051.8	2232.2	2368.4	6620.4	3482.7	2076	1273.6	2520.2	0	73458
P50454	8533.1	2071.3	3889.6	4213.5	9401.1	8005.3	11538	31885	740.93	927920
Q8IZP2;P50502;Q8NFI4	5759.4	1374.8	3623.8	3915.8	7672.9	4674.2	4744.7	11708	0	392490
P50552	2315.4	2101.7	3958.9	2838.1	4662.3	3402.3	3550.4	2646.7	0	69262
P50914	2400.4	0	2091.3	1750.4	1733.7	1304.5	1069.2	898.66	0	43169
P50990	18698	9432.6	17603	24568	17353	17348	20970	21328	1334	684770
P50991	11480	4824.2	10708	9926.5	14265	7258.6	9000.5	16533	0	583330
P51114;Q06787;P51116	0	0	0	0	0	0	0	0	0	0
P51148;P61020;P20339	671.93	310.89	657.77	836.93	1080.7	956.1	1130	1540.2	0	46203
P51149	7716.4	1858.5	7322.5	7555.8	9031.5	5669.1	9907.1	15056	0	431640
P51571	4302.7	3656.7	5377.3	5223.3	5608.6	4528.6	3599.9	4347.3	0	148920
P51572	0	0	0	0	0	0	0	0	0	0
P51610	0	0	0	0	0	0	0	0	0	0
P51659	638.89	374.12	1364.5	1129.9	927.98	1020.3	501.46	2723.8	0	32816
P51665	2083.9	748.46	2605	1916.9	2514	1715.2	1474.9	2653.9	0	129300
P51858	5025.3	5818.5	6937.5	6964.8	11969	5266	6647.6	9227.5	0	323750
P51991	7291.7	3363	8187.9	8247.5	13007	7544.9	7728.4	24548	0	640150
P52209	3017	2025.8	10078	12661	9229.1	4082	6380.3	8679.5	383.81	370290
P52272	11564	7109.2	11350	10467	16243	10523	15163	28845	768.38	886680
P52434	0	0	0	0	0	0	0	0	0	0
P52565	26119	11491	35430	26166	105190	23738	12394	19732	1157.2	541450
P52566	4202.9	3798.5	11223	6361.6	12922	6279.6	4723.9	5796	0	181240
P52597	23354	3111.7	9171.1	6576.2	8038.8	4713.4	7814.9	16061	332.16	570950
P52789	0	0	0	0	0	0	0	0	0	0
P52907	1348.1	875.5	1256.4	1802.2	1581.6	948.48	2959.8	1390.9	323.34	40484
P52926	0	0	0	0	0	0	0	0	0	0
P53367	0	0	732.56	760.75	879.53	0	1157.1	1608.6	0	65186
P53597	786.77	267.46	971.37	1144.1	2062.7	1054.8	1253.7	3107.2	0	69827
P53618	336.09	382.61	598	704.73	767.47	1146.3	1214.1	618.42	0	18669
P53621	3601.7	2465	4461.7	4859	6502.4	3600.6	4700.3	7081.2	0	211410
P53680	0	0	0	0	0	0	0	0	0	0
P53999	1237.5	634.83	886.3	823.07	1015.6	908.65	608.43	1257.9	0	49004
P54136	5973	2583.3	7010.8	5735.7	7449.4	5338.8	6305.3	10623	262.21	338730
P54577	1294	778.2	553.66	1314.7	1816.3	1375.4	1769	2242.9	0	84557
P54578	0	0	0	0	0	0	0	0	0	0
P54727;P54725	3217.5	689.22	4035.8	3851.6	4895.8	3268.7	3542.2	9005.4	0	294390
P54819	575.33	0	385.01	0	959.49	469.4	596.35	1408.7	0	58157
P54886	8405.4	8211.8	12032	10915	16658	12009	11130	16191	414.36	507060
P54920	0	0	0	0	0	0	0	0	0	0
P55036	0	0	0	423.14	881.76	0	387.52	1671.6	0	46650
P55060	2573.4	13782	4273.1	4756.9	4132.1	2932.2	1782.6	2706.7	0	123340
P55061	1841.4	1220.4	2160.6	1534.9	2555.4	1578.1	1412.6	3755.3	0	110180
P55072	19495	8715.2	20779	18287	35680	16710	21224	37735	558.28	1260700
P55084	960.08	1152.1	1978.1	3652	3793.1	1258.2	1376.9	1538.8	0	41495
P55145	1227.8	264.43	1544.4	1483.2	3042.8	1540.5	2670.4	5748.1	0	225350
P55209;Q99733	6548.4	2104.4	6458.6	5783	5689.3	3360.9	4990.8	8063.4	0	192640
P55327	0	0	616.91	402.74	949.3	335.51	412.54	0	0	15928
P55735	292.56	0	392.29	458.65	658.82	305.99	760.65	1152.2	0	54848
P55769	3446.5	3153.9	3349	3062.9	6828.2	3102	3556.3	9311.4	0	246430
P55795	0	0	0	0	0	0	0	0	0	0
P55809	2358.9	0	1920.8	2413.2	1794	1471.1	2386.7	4395.3	364.65	171270
P55884	3649.9	0	1982	3127.8	3631.8	2771.4	5024.8	8618.8	0	252650
P56192	583.14	0	786.12	459.84	1011.5	780.38	453.92	645.12	0	22700
P56211	0	0	0	0	0	0	0	0	0	0
Q5VTU8;P56381	1746.9	647.57	1604.5	1388.6	1393.6	1127.2	1275.6	2437.7	0	92299
P56537	0	0	0	0	0	0	0	0	0	0
P56556	0	0	0	0	0	0	0	0	0	0
P59998	5197.5	6466.2	4998.1	6022.4	10867	3749.8	6172.5	9215.7	539.47	256170
P60174	18300	7537.5	23905	17610	19455	15039	17067	42013	363.76	1379800
P60228	4901.1	1526.8	4114.8	3761.7	4000.3	3473.4	3602.7	7751.3	0	276820
P60468	599.63	380.65	414.41	328.19	0	271.63	734.49	2269.2	0	70669
P60510	0	0	0	0	0	0	0	0	0	0
P60660;P14649	12530	2831.2	7411.4	6958.4	12145	7420.3	7948.3	14175	527.76	507430
P60709;Q6S8J3;Q562R1;A5A3E0;P0CG38;P0CG39;Q9BYX7	236930	31816	130680	167790	172740	105640	130840	268310	3129.1	11379000
P60842	23314	8553	19291	21615	25279	18176	21983	32665	451.33	1171600
P60866	3718	597.26	3041.7	2761.2	3762.8	2418.4	3215.2	7258.3	0	185440
P60900	4152.3	1697.2	4875.5	4651.7	5685.9	4611.2	4672.2	9296	0	316520
P60903	2620.7	2528.4	2411.7	3727	6060.4	3138.6	11025	7435.6	0	364760
P60953;P17081;Q9H4E5	6429.3	2497.8	7033.3	7476.7	8789.8	6267.4	6597.7	13934	0	393860
P60981	2000.3	559.28	1356.8	5896.3	3153.4	2988.4	2595.7	4182.9	303.48	104550
P61009	0	0	0	0	0	0	0	0	0	0
P61011	0	0	0	0	0	0	0	0	0	0
P61019;Q8WUD1	4258.8	2101.2	4095	4703.3	5259.9	3476	4209	7196.1	0	167130
P61026	914.92	507.98	1388.5	424.08	1588.3	1001.3	675.87	779.84	0	18840
P61081	952.03	0	729.29	833.18	922.17	446.13	437.03	1416.7	0	55504
P61086	330.32	0	0	0	0	0	0	684.17	0	16135
P61088;Q5JXB2	2275.4	496.05	1507.6	1505	1790.7	1093.4	1807.8	2688.2	0	93523
P61106	7429	4586.5	7622.8	9777.3	9983.9	9829.3	9807.7	14031	274.87	335790
P61158;Q9P1U1	2769.1	472.03	3097.1	2327.9	3505.2	2709	3223.8	4465	0	174860
P61160	0	0	0	0	0	0	0	0	0	0
P61163;P42025	1529	931.36	1528.7	1406.9	1134.4	1783.9	2237	2602.5	0	78594
P61201	0	0	0	0	0	0	0	0	0	0
P61204;P84077;P84085	4468.2	1676	4810.1	5277.6	7213.9	3985.8	4308.8	8477.9	0	197660
P61221	860.54	0	1026.8	614.68	906.38	771.75	647.91	583.85	0	23401
P61224;P62834;A6NIZ1	3966.8	1562.9	5215.7	4513.9	6511.8	4696.9	5093.9	10151	0	321390
P61247	13362	5604.4	15344	14047	16717	13756	17846	24435	685.61	944440
P61254;Q9UNX3;Q2PPJ7	10566	40543	19802	10992	24620	6610.9	9570.4	9898	0	389510
P61289	906.93	854.43	1981.2	1583.8	3808.4	926.91	1278	851.77	0	39290
P61313	23388	6406.4	23004	19645	24966	18274	13040	23683	355.26	769960
P61326;Q96A72	960.32	0	521.63	603.56	1317.9	884.29	1251	3129.5	0	98649
P61353	9029.3	4890.2	8827.2	9278.5	12875	8438.9	9781.1	23375	748.95	683930
P61421	996.02	1512.2	1399.6	2255.5	3480.8	1280.2	1647.7	3455.6	0	90634
P61513;A6NKH3;P17405	26381	13716	26446	53841	38891	26445	26795	31125	1986.4	1337000
P61604	10834	2252.9	6007.9	5163.7	8097.2	6788.6	7360.5	12886	691.92	614260
P61619;Q9H9S3	5103.5	1686.5	3642.7	5952.9	6075.9	4789.7	5826.6	9712.3	648.58	335870
