Protein IDs	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A
Q99757	0	0	0	0	0	0	0	0	0	0
Q99798	15672	16696	18287	12434	31677	20401	19918	32269	393.92	1128800
Q99805	4409.3	4290	5348.1	4965.2	6999.5	3489.5	3058.5	2179.9	0	68068
Q99829	3648.5	4209.3	3645.5	1822.6	4986.7	3380.2	3099.8	4423.9	0	148640
Q99832	10351	13175	7822.7	8309.7	12428	10947	10198	16524	0	582230
Q99873;Q9NR22	4075.6	6807.3	7982.4	3087.7	4543	3736.1	4286.6	7883.1	0	238030
Q99880;Q8N257;Q96A08	165290	178110	126740	107670	208430	232800	127800	198330	5915.6	8399100
Q9BR76	6358.3	7069.4	5333.2	4286.9	7520.2	6351.7	7442.1	9378.3	0	302860
Q9BS26	0	563.36	647.09	0	632.87	290.76	0	1408.8	0	30746
Q9BSJ8	0	0	0	0	0	0	0	0	0	0
Q9BT78	0	0	0	0	0	0	0	0	0	0
Q9BTT0	0	0	289.33	0	321.53	0	0	0	0	8415.1
Q9BU70	0	810.81	415.79	643.37	1718.4	333.89	936.87	2705.4	0	113900
Q9BUJ2	0	0	0	0	0	0	0	0	0	0
Q9BUN8	2454.7	2153.4	1413	1538.2	1561.6	1308.6	1845.5	3080	0	122650
Q9BV35	0	0	0	0	0	0	0	0	0	0
Q9BV40	0	0	0	0	0	0	0	0	0	0
Q9BWH2	493.28	638.54	489.68	292.07	829.56	455.27	599.71	996.09	0	35851
Q9BWJ5	1463	2967.6	2361.5	2293.7	2990.5	4366.9	2017.1	3111.8	0	70635
Q9BWM7	3256.6	3536.8	3637	2629.6	4670.5	2314.7	2994.4	5979.8	0	190400
Q9BXP5	1678.4	2203.1	3439.2	1142.2	2819.8	1252.1	2170.2	4014.1	0	104210
Q9BY67	0	0	0	0	0	0	0	0	0	0
Q9BZH6	3349.7	4525	2068.7	3006.2	4162.3	4286.3	1490.8	1978.8	0	77795
Q9BZQ8	0	0	0	0	0	0	0	0	0	0
Q9BZZ5	1132.8	2937.6	1280.1	8610.4	2664.7	1428.1	1330.4	2069.4	0	70337
Q9C005	0	0	0	0	0	0	0	0	0	0
Q9GZM7	1186.6	1606.4	2873.8	1859.2	2832.9	1384.8	940.27	1155.4	0	27830
Q9GZZ1	347.84	0	0	0	0	0	401.66	349.42	0	20602
Q9H0A0	459.61	548.76	360.38	0	524.86	333.05	0	508.12	0	9039.1
Q9H0R8;O95166	375.97	0	0	0	0	0	3960.1	5235.8	0	178080
Q9H1E3	1528	643.52	1239.9	464.12	1006.2	1238.5	982.05	4454.6	0	87766
Q9H223	379.42	1051.3	369.51	310.75	693.33	0	304.63	825.89	0	31557
Q9H299	1482.5	1727.6	1732.3	988.97	1432.6	1659.5	1853.3	2869.7	0	99856
Q9H307	0	0	0	0	0	0	0	0	0	0
Q9H444	616.9	642.7	321.06	619.96	680.6	730.28	1274.3	2612	0	64980
Q9H4G4	0	0	0	0	0	0	0	0	0	0
Q9H4M9;Q9NZN3;Q9NZN4	2445.8	2890.4	2648.2	1197.3	3220.1	1602.3	1929.9	3614.6	0	109830
Q9H792	0	0	0	0	0	0	0	0	0	0
Q9H8Y8	0	0	0	0	0	0	0	0	0	0
Q9H910	0	0	0	0	0	0	0	0	0	0
Q9HAV7	1212.1	1350.3	1428.5	1050.2	1624.8	1744	2698.7	2895.8	0	76615
Q9HB71	3142.2	5387.1	2953.4	2992.5	3953.3	3348.5	3925.5	7203.2	0	258750
Q9HD45	753.89	0	863.3	277.04	459.29	801.87	1532.9	3105.4	0	101000
Q9NP72	0	0	0	0	0	0	0	0	0	0
Q9NQC3	15338	15335	9986.7	10860	16112	13182	7728.9	11770	339.59	311770
Q9NQG5	0	0	0	0	0	0	0	0	0	0
Q9NQW7	790.34	1440.4	1064.6	398.55	469.17	782.05	715.86	1238.1	0	37776
Q9NR30	3583.7	4833.3	3126.8	4175.8	3814	3454.8	2681.9	6630.8	0	181200
Q9NR31;Q9Y6B6	1749.6	1434.8	870.61	935.7	851.02	811.29	695.06	1920.3	0	50758
REV__Q9UNY4;Q9NRD9	4307.2	6865.5	2652.6	1531	2902.2	2193.2	2275.8	7017.8	370.54	236620
Q9NRP0	994.15	584.04	1268.1	482.16	1850.2	1151.4	454.04	892.18	0	26253
Q9NSD9	2337.3	6576.3	3429.7	4188.5	2367.1	2327.2	1124	4715.4	0	103830
Q9NTK5	0	0	0	0	0	0	0	0	0	0
Q9NVA2;Q14141;Q9P0V9;Q92599	628.03	1135.4	848.09	0	857.26	317.54	1056.6	534.96	0	26037
Q9NX63	947.49	900.82	685.33	618.88	967.13	797.65	1131.7	0	0	20200
Q9NY12	0	0	0	0	0	0	0	0	0	0
Q9NYF8	1063.6	974.24	1730.6	1167.2	2307.8	1121.7	1478.6	6753.9	0	162370
Q9NYU2;Q9NYU1	984.63	3720.2	1117.8	1830	1525.4	1591.1	1371.2	2180.9	0	97152
Q9NZ01	944.54	3552.3	4272.3	4634.1	5894.6	3257.4	1299	2250.1	0	44624
Q9NZJ7	813.34	708.25	645.24	0	881.61	893.57	522.23	1686.9	0	48341
Q9NZM1	7875.1	14362	5632	9976.9	8777.1	8630.2	6471.1	14756	0	426260
Q9NZT1	0	0	0	0	0	0	0	0	0	0
Q9P258	4343.8	3027.1	5387.7	3500.6	5599.7	3951.2	3506.5	7983.2	0	235710
Q9P2E9;REV__Q9P2M7;Q8N4C6	40747	24261	13285	10514	16811	19632	12656	20313	0	681930
Q9P2J5	1242.4	534.98	380.73	652.77	1500.2	792.86	1206.2	2849.1	0	72932
Q9P2K5	0	0	0	0	0	0	0	0	0	0
Q9P2R7	1010.3	1782.6	984.31	592.69	1289.5	1689.4	1697.9	3249.3	0	94741
Q9UBG0	331.02	340.42	0	0	272.22	321.14	0	780.27	0	24276
Q9UBQ0	2225	1537.6	1124.7	764.77	1750.5	887.24	1738.2	3762	0	83854
Q9UBR2	2383.5	2682.2	4403.9	3330.2	3777.5	3624.6	3122.6	4650.2	0	222590
Q9UBS4	2063.8	2533	2367.1	1758.6	2924.8	2046.1	1758.3	4241.7	0	123840
Q9UBT2	626.05	705.32	533.26	416.7	350.46	454.42	464.44	1294	0	34244
Q9UBX7	1489.2	1321.6	9107.2	1494.5	1479	1093.6	2762.9	5682	0	134650
Q9UG63	436	0	0	0	0	0	0	531.79	0	15894
Q9UGI8	555.78	1094.3	871.46	763.56	4133	683.27	806.38	847.26	0	9765.6
