Protein IDs	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A
P16615;O14983;Q93084	4005.4	4018.1	2696	1692.7	3915	2246.6	3915.3	6791.8	0	264710
P16949	1108.5	1354.2	1229.1	1184.5	1337.4	1611.9	952.02	1550.1	0	47863
P17066;P48741	899.27	1065.6	1128.2	735.9	1135.4	766.39	831.67	1641.5	0	65148
P17096	0	0	0	0	0	0	0	0	0	0
P17174	761.56	992.3	314.38	0	737.47	1116.4	882.54	1846.9	0	53884
P17612;P22694;P22612	0	0	0	0	0	0	0	0	0	0
P17655	1539.9	2485.9	1449.4	1762.4	3733.8	2941.2	2662.9	6093.9	0	182500
P17812	295.29	0	0	0	303.14	343.14	0	703.81	0	27549
P17844	28992	32487	22161	22994	41048	28515	29514	53075	0	1768300
P17858;P08237	0	0	0	0	0	0	0	0	0	0
P17931	8307.6	11117	7707.5	7420.1	7550.5	6274.3	5652.8	8087.7	289.12	322030
P17980	1912.4	2950.4	3212.4	1737.2	3359.3	1891.5	1188.1	2513.9	0	65747
P17987	10474	13254	7843.9	7478	10315	10602	11813	18250	0	642900
P18077	8580.4	9635.9	5749.2	6256.8	9107.6	13010	7859.9	10940	0	397660
P18085	0	0	0	0	0	0	0	0	0	0
P18124;Q9Y4A5	13779	14802	8940.2	8017	11004	10492	11641	20167	452.73	712660
P18206	10060	15513	8870.2	7714.5	14861	13917	10055	14456	0	499650
P18564	1317.2	1391.4	1384.6	946.41	1314.9	705.54	1273.3	3221.1	0	118180
P18621	8385.4	8619.6	7102.7	5620.2	6113	6157.7	5764.9	14165	336.98	466430
P18669;P15259;Q8N0Y7	8823.9	8152.6	3495.7	3479.5	5704.6	7688.8	7232.8	18040	351.75	566850
P18754	2274.5	2092.1	2327.7	1199.7	2021.9	1373.2	980.56	2308.7	0	74187
P19022	0	610.75	0	322.47	710.18	644.18	0	710.33	0	21301
P19338	27640	28015	16492	14004	20755	13950	30044	48684	415.42	1900900
P19367	1344.2	2297.8	1451.1	1289.7	1651.2	2410.6	2678.2	5872.9	0	163420
P19404	0	390.83	0	0	0	0	0	831.71	0	20497
P19623	5385.3	6235.5	3217.8	3456	9083.4	6851.8	2835.6	7138.5	0	180100
P19878	0	0	0	0	0	0	0	0	0	0
P20042	535.09	1249.9	768.01	643.71	1918.3	1238.1	1568	1994.2	0	96945
P20073	2212.1	4325.1	2504.1	2001	4071.7	2863.2	1637.3	2600.5	0	84799
P20290	0	0	0	0	0	0	0	0	0	0
Q9NRW1;P20340;Q14964	573.72	996.16	858.13	624.06	2156.6	1073.3	1184	1689.2	0	54686
P20618	571.84	1106.5	405.27	844.47	1045.2	1230.5	1042	1686.1	0	56500
P20674	6070.5	1677.9	1360.7	697.17	770.51	1051.1	683.92	2728.3	0	99873
P20700;Q03252	15531	27612	16262	14654	30174	20217	15493	29030	0	895800
P20962	0	0	0	0	0	0	0	0	0	0
Q9UQ88;P21127	619.2	1266.4	346.15	922.18	1015.9	640.73	579.75	1291.2	0	19869
P21281;P15313	4649.9	4462.4	2990.6	2843.6	4933.5	3810.2	4073.4	6170.1	0	196000
P21283	286.83	831.26	651.09	1093.7	1618.4	1700.4	1002.8	1527.1	0	41713
P21291	3058	4279.8	1876.2	1131.1	3160.6	3642.5	4214.4	9152.1	0	313000
P21333	100220	128870	73487	65433	97798	73000	76429	128440	1664.3	3851500
P21397	237.54	399.53	0	382.81	399.22	283.69	547.73	933.21	0	49587
P21796	26350	27224	16281	14760	25452	22067	27372	41354	831.87	1336500
P21912	324.01	857.66	484.08	601.36	1335.4	907.28	441.55	1323.8	0	26116
P22087	5609.1	5687.4	5175.6	6786.2	6799.2	7067	5594.8	8571.6	0	296320
P22102	0	0	0	0	0	0	0	0	0	0
P22234	4755.7	4815.6	4022.9	2148	3882	3987.2	4145.5	6899.8	424.7	203620
P22307	2967.6	2686.2	1258.2	1796.4	2729.4	2248.8	3759	7019.9	277.14	290620
P22314	14050	15416	8309.6	9205.5	8828.9	8509.5	11712	21884	0	745440
P22392;O60361	28572	32925	15586	12714	17175	19246	13296	20600	933.49	595140
P22626	34192	34849	26869	18830	30958	30063	31702	62547	1023.4	2027800
P22695	11872	10190	7217.6	6872.2	12043	5469.5	5473.5	3053.9	0	95884
P23193	1719.9	1643.2	992.18	678.25	1543.8	813.91	1353.3	2712.3	0	66186
P23246	16328	14831	10055	10245	13756	11871	18769	29873	482.66	1073800
P23284	5146.7	4227.3	3795.8	3131.6	3938	3513.3	5597.7	4614.2	382.19	225660
P23396	32448	39204	17358	16837	22700	27439	26390	46985	358.44	1594300
P23526	4579	5729.9	7987	5328	10891	3853.2	5246.2	7190.2	0	251900
P23528	40046	51559	15283	14018	24245	29665	25583	42124	658.69	1266600
P23588	2051	2049.4	1089.5	1286.8	1569.1	1446.1	3161.5	5156.8	0	189950
P23921	489.86	424.74	482.44	506.09	602.87	836.29	0	813.05	0	30463
P24534	13629	16678	5654.2	5464.1	7831.9	7792.5	8337.6	18122	0	504550
P24752	4245.9	6907.2	4827.8	3933.8	7094.4	6481.5	8005.8	14953	0	499600
P25205	558.52	1140.6	711.07	363.35	910.79	962.6	1455.8	2106.3	300.27	80835
P25398	11478	11415	6870.5	7922.3	10987	9564	20369	35878	1297.4	1295500
P25705;REV__O00522;REV__Q9Y5A7	40025	43069	26076	20555	45572	43013	33998	51829	540.49	1859600
P25786	7969.5	9060	8275.7	5832.6	8635.8	9135.7	7758.9	10250	0	430000
P25787	18144	13214	11239	12881	9775.6	9322.8	7319.7	1856.7	0	39409
P25788	2592.6	2651.4	2813.3	1611	3003.5	2177.4	3801.8	6187.7	0	182760
P25789	1007.5	1008	834.02	0	847.03	674.64	830.39	1647.1	0	52936
P26038	32024	36941	21260	17909	29162	23934	26633	43701	549.9	1496900
P26196	0	0	0	0	0	0	0	0	0	0
P26368	5467.9	5656.6	3853.3	2856.4	5360.2	4846.1	5010.7	12260	0	371700
P26373	25411	26908	17831	18872	22981	23470	19789	33732	834.74	1303000
P26447	16182	13638	9866.9	8398.3	7735.6	3722.4	11823	21158	446.82	704680
P26599;O95758	4357.6	3782.1	2596.9	1803	2685.8	2236.1	757.62	2455.3	0	81543
P26639	2092.9	2535.1	1252.1	1283.2	1526.1	2145.7	872.11	2569.8	0	90261
P26640	285.03	1214.6	984.02	1023.9	1869.1	2537.1	233.86	1017.1	0	26404
P26641	29912	33034	15741	13144	16862	21845	19244	35179	651.48	1252800
P26885	0	0	0	0	0	0	0	0	0	0
P27105	859.83	810.68	378.68	833.72	1004.5	578.95	678.03	2352.7	0	53046
P27338	366.04	552.02	371.36	0	0	332.67	1738.8	2547	0	88927
P27348	6938.3	9602.2	3713.9	3009.7	6723.6	6250.4	5159.8	10800	0	354200
P27635;Q96L21	9576	9715.4	12530	6960	7855.5	14819	7642.6	16602	419.9	498090
P27695	1124.7	1370.2	1039.2	553.74	2049.1	629.91	1459.8	3227.9	0	100120
P27708	0	0	0	0	0	0	0	0	0	0
P27797	25247	15318	10763	10435	11848	12336	15796	36793	0	1127400
P27816	636.07	933.52	691.22	697.4	601.03	802.01	344.37	682.1	0	36221
P27824	101580	114530	66173	71079	82098	98038	35959	45458	2931.8	966080
P28066	2779.7	3212.7	1417.7	1756.9	2192	2047.3	3354.1	7421	0	249120
P28070	1060.8	1232.1	382.06	906.15	565.53	913.16	728.62	1438.6	0	54967
P28072	3942.1	2620.8	2023.4	1710.3	1691.5	1668.3	1370.2	2195	0	98825
P28074	1131.6	2212.5	1322.4	3617.9	7914.8	1730.2	643.25	2475.1	0	57479
P28300	0	0	0	0	0	0	0	0	0	0
P28331	1689.7	2221.6	2711	1082.3	2259.5	1912.5	1582.2	3890.2	0	129960
P28482	0	559.12	607.92	588.64	344.04	558.6	485.8	986.67	0	23295
P28799	0	0	0	307.63	0	0	0	478.95	0	6460.8
P28838	1214.3	1188.6	1323.9	320.87	1789	2317.5	1080.2	2795.6	0	83707
P29350	1130.6	605.31	594.66	917.07	1013.7	835.58	1568.2	1778.6	0	59041
P29401	5554.4	6077.9	7260.6	6477	10175	7981.8	10958	19840	565.47	651850
P29692	15507	25378	9571.8	23941	19951	15665	14352	29325	0	886950
P29966	548.13	820.66	445.3	589.52	871.59	0	605.44	1255.4	0	42262
P30040	0	0	0	0	0	0	0	0	0	0
P30041	0	468.38	0	0	0	703.03	616.49	1236.5	0	46448
P30044	5446.7	5366.9	2234	1623.4	5586.2	6129.3	6333.2	9554.2	0	406000
P30048	3193.9	3036.1	2234.6	2807.4	3750.2	2996.9	3494.1	5239.7	0	215950
P30049	1659.1	1140.6	681.05	563.56	981.76	754.18	1833.7	3257.1	0	128510
P30050	16347	20935	15526	16489	19019	15320	17266	19133	811.02	670870
P30084	1294.2	1535.4	326.64	1010.2	1048.3	989.27	2061.1	4548.3	0	139960
P30085	369.7	1163.6	559.8	1185.7	19270	1872.4	767.91	1596.1	0	36694
P30086	3526.9	4245.8	1821.6	1365.6	2518.3	2452.7	2240.6	3165.1	320.27	131590
P30101	16689	13707	11243	8356	15297	12947	17324	32164	269.08	1002500
P30153;P30154	2564.1	3663.2	1439.5	1666.7	2510.7	2947.1	1707.9	4179.7	0	127230
P30419	536.43	640.28	705.15	757.76	1921.3	1198.2	444.73	2839.5	0	67198
P30519	0	0	0	0	0	0	0	0	0	0
P30520	0	0	0	0	0	0	0	0	0	0
P30626	1694.2	3055.5	1008.8	1227.8	1333.2	1877.1	1620.8	3395.1	0	153130
P31040	1668.9	2001.4	1197.5	1762.4	2566.9	1070.6	2937.7	5968.5	0	229490
P31146	7498.3	11697	7740.5	16963	12832	7956.3	9215.3	15177	534.99	414770
P31153	340.89	829.14	0	0	339.78	533.06	379.31	445.16	0	18458
P31930	1757.7	1601.1	558.51	1903.4	2801.4	1463.9	1547.4	2340.4	0	84837
P31939	477.78	989.48	0	359.68	848.74	743.12	612.18	409.29	0	19647
P31943	6316.9	6579.4	4919.9	4222.6	5874.8	6534.5	4647.5	8564.1	0	313490
P31944	0	0	0	0	0	0	0	0	0	0
P31946	2533.5	3270.1	1577	1720.1	3376.9	2341.6	1906.7	3394.4	0	126250
P31947	1895.3	2585.5	1405.6	1741.8	1852.5	2065.8	2261.4	2882.8	0	127720
P31948	8393.2	9699.6	5727.2	6008.3	11673	11156	7957.5	12100	0	409080
P31949	4013	4204.5	1714.4	1365.1	3437.5	3583.5	4050.9	12185	0	332000
P32004	0	0	0	0	0	0	0	0	0	0
P32322	0	0	954.3	619.27	1266.4	508.64	838.41	665.47	0	24468
P32969	394.07	1091.1	486.15	446.42	1713.6	1062.5	858.88	1338.5	0	32999
P33991	2709	2810	2218.6	1813.9	2933.9	2311.1	2110.5	3694.7	0	111900
P33992	1168.2	2399.7	1696.3	1753	3750.9	1688.3	1527.3	3323.1	0	103980
P33993	636.05	697.61	301.39	0	811.19	0	845.89	1109.5	0	57432
P34897	14382	10920	15032	6689.1	10273	9450	14681	23273	0	862740
P34932	5087.8	6163	4148.4	3332.8	4786.5	3439.7	4751.4	7041	0	228180
P35221;P26232	0	0	0	0	0	0	0	0	0	0
P35232	12496	12786	11781	9233	17740	14478	14386	23719	0	712280
P35241	1113.4	1462.7	1241.5	571.73	1989	1414.8	1077.6	2137.6	0	55695
P35250	0	0	0	0	0	0	0	0	0	0
P35268	1108.2	1588.4	2229.4	1233	2472.8	3384.8	2548.4	9027.9	0	167880
P35527;CON__P35527;CON__Q99456;Q99456	21601	12151	13396	9743.1	12514	10193	10145	1020.5	0	32802
P35579	138320	182750	59254	46724	98770	108680	75289	126980	1920.9	4411000
P35580	1383.8	2420	400.16	1624.5	2631	2016.6	1956.9	2523.6	0	98061
P35606	4445.2	4076.8	3805.7	2804.6	4241.2	3660.2	3927.3	4235.4	0	148830
P35637;Q92804	5142.6	6665.2	2602.5	3664.5	5028.5	3860.4	5568.5	12936	0	493900
P35659	0	0	0	0	0	0	0	0	0	0
P35749	797.24	1080	369.88	837.88	762.42	668.67	629.89	2057.7	0	62448
P35998	2451.7	3303.3	1757.9	1421.9	4791.1	2969.2	2833.6	5492.6	0	192340
P36542	3775.7	3131.5	1203.9	670.75	2678.5	2521.3	0	0	0	9580.4
P36543;Q96A05	0	0	0	0	0	0	0	0	0	0
P36551	0	0	0	0	0	0	0	0	0	0
P36578	38373	38393	30833	29036	37561	30296	26326	36940	692.6	1111400
P36776	538.93	729.61	498.75	561.5	732.84	842.4	1380	2911.6	0	84051
P36873;P62140	840.85	861.2	882.72	491.67	827.52	621	867.93	834.97	0	31126
P36957	1495.2	523.44	816.65	0	2155.7	1283.4	1800.3	3193.8	0	104920
P37198	0	381.43	440.57	376.15	564	416.65	294.06	397.02	0	12361
P37802	7304.7	14004	6745.3	6060.1	8440.4	6514.3	6291.9	10564	0	346520
P37837	5590.8	5696.3	5389.1	4944.6	3771.7	3574.8	3149.8	6539.9	0	167850
P38117	1889	2463.6	1159.4	1245.6	1901.6	2173.9	2073.8	3631.7	0	156950
P38159;Q96E39;O75526;Q8N7X1	7584.5	8056.3	5614.8	4044.3	6612.3	6909.5	7193.6	13395	0	399140
P38606	2575	3161.3	2608.8	2354	5688.7	8314.9	3667.4	5109.7	0	122340
P38646	27198	33323	20832	17041	24674	21100	28190	54647	640.57	1694600
P38919	5422.9	9082.6	5876.6	6143.7	8567.6	5227.6	6154.7	11975	0	390490
P39019	17910	24134	11518	15655	15218	16754	18207	24591	680.09	1084300
P39023;Q92901	25248	39185	20143	35151	27771	31644	18600	29755	342.38	954320
P39656	5727.6	11716	4587.5	6091.5	8494	6443.5	7962.3	14016	417.14	515870
P39687;REV__Q9Y2X3;O95626;O43423	2616.4	5674	3552.9	2966.8	7042.1	2904.9	4779.1	10967	0	311720
P40121	0	0	0	0	291.39	299.06	342.88	328.3	0	22130
P40227;Q92526	7002.2	8193.7	2917	3807.8	6275.1	6233.1	6131.7	11797	295.24	447230
P40394	738.4	1214.7	833.74	506.97	1599.7	1466.7	949.88	2431.6	0	77564
P40429;Q6NVV1	14385	24316	10506	18344	20312	14125	10469	16979	441.32	623620
P40616	0	0	0	0	0	0	0	0	0	0
P40925	2427.4	2670.2	1430.5	1549.1	1919.1	2691.1	2730.6	5629.8	0	153110
P40926	27129	30196	18318	20378	27341	20175	31577	55067	962.46	1875400
P40939	9351.3	8217.7	7118.9	5987	7617.4	7457.8	10270	14737	0	471040
P41091;Q2VIR3	2506.6	3496.5	1150.8	515.39	2440.3	2350.7	2558.4	7292.3	0	169640
P41250	2314.3	3220.1	1471.8	1796.3	2267.3	1449.7	1709.9	3046.2	0	101210
P42167;P42166	3778.3	2955.6	1429.5	915.47	1846.5	1504.2	1649.2	3288.9	0	139750
P42224	786.38	683.15	700.23	712.03	1066.2	0	768.89	1387.3	0	50989
P42677	267.98	2126.3	802.35	1677.5	2031.6	1693.6	1291.4	1516.7	0	58663
P42765	0	0	0	0	0	0	0	0	0	0
P42766	20830	18010	13356	11780	17309	16685	9656.3	21062	1452	701330
P43243	2952	2709.1	2899.3	1873.9	3991.8	2820.3	2420.4	4158.9	0	132920
P43304	261.66	814.17	394.19	387.67	851.37	611.54	610.56	1136.5	0	35706
P43307	451.33	282.97	322.13	502.39	529.27	0	629.58	1752.5	0	51562
P43487	7826.5	7611.4	4168.1	3135.6	5616.9	7017.5	5833.6	10048	268.53	330180
P43686	2866.2	3080.6	13548	1822.1	4449.2	3393.8	1256.3	1879	0	62104
P43897	0	376.48	0	0	350.82	384.44	272.96	1325.2	0	30017
P45877	0	0	0	0	0	0	0	0	0	0
P45880	10047	9582.2	7509	7938.1	21240	8485.2	16775	29951	0	1030600
P45973	1425.3	2175.6	2477.7	2403.5	2948.3	2071.5	2223.8	4776	0	129170
P45974	1356.1	605.1	1245.5	3014.5	1012.2	1474.2	554.16	1299.3	0	46192
P46013	634.4	1856.3	1021.8	3040.6	672.75	579.26	847.65	2702.3	0	70958
P46060	0	0	0	285.59	280.83	264.17	394.85	806.82	0	24251
P46459	1537.9	2395.5	2504	1896.2	3850.8	1064.7	1643.4	2581	0	112440
P46776	10117	10306	8255.7	7311.3	9109.8	6687.3	8745	18686	366.65	546630
P46777	17481	23123	15824	14956	23322	17581	17941	35514	370.28	1265100
P46778	3328	2535.2	1539.5	1021.4	1939.5	1711.5	2891.7	6497.7	0	206680
P46779	16024	33215	11146	16977	22959	15353	12272	17788	649.4	632800
P46781	19539	24908	12353	12285	18015	19943	17010	22545	744.44	858100
P46782	16685	17027	8897.6	8020.4	10406	11581	7784.1	14817	0	502710
P46783;Q9NQ39	17642	16219	10355	10377	14921	16973	7714.2	12087	0	340550
P46940	6536.2	7592.2	6170.1	5822.1	7970.2	7411.9	5599.2	11928	0	368030
P46977	7241.8	6175.2	4254.2	1695.9	5317.1	4031	4897.4	8848.7	456.25	314420
P47755	3275.1	4740.6	2864.5	2015.8	3259.6	3445.5	2665.7	5063.3	0	176100
P47756	1419.5	2014.3	742.13	517.25	1765.7	1611	2852.2	4483.9	0	147760
P48047	2063.9	1485.3	1196	1575.1	2274.3	1838.4	2177.2	4190.9	0	119490
P48147	1088.7	1427.1	1954	1041.3	2365.2	1378.2	919.45	977.28	0	30944
P48444	2725.8	3029.9	1772.1	1775.3	3464.2	2898.8	990.14	5094.2	0	150570
P48643	6251.7	9247.1	4946.2	4497.2	8085.1	6908.4	6356	10905	0	334970
P48735	4385	10048	5152.7	36834	33312	5834.8	10316	19585	0	639060
P49006	803.13	737.08	824.64	1025.4	1768.3	613.87	738.94	527.82	0	21329
P49189	0	368.32	391.17	0	0	0	0	308.81	0	7909.8
P49207	17880	18562	10389	11950	15973	15743	7757.5	8792.4	0	317020
P49257	959.33	1640.2	1006.7	456.01	850.53	583.1	1197.8	3100.8	0	87014
P49321	2377	2915.4	1480.6	1285.7	4088.9	2548.3	1815	3121.1	0	118610
P49368	10413	14032	12757	8481.4	15086	11128	11291	19522	0	656080
P49411	3956.4	5577.5	2633	1905.1	4958.2	3136.4	5198.3	8786.5	0	323720
P49588	2763.3	2611	978.03	1021.5	1997.2	2106.6	2235.6	4384.5	0	132950
P49591	7000.1	7382.5	4886.7	4890.8	6448.8	6253.5	4597.4	9689.8	0	252380
P49720	2979.1	5021.5	4607.3	2558.5	2891.3	2471.6	3404.9	4825.1	0	156480
P49721	2452.1	2867.3	1428	1533.3	2387.3	2292.5	2321.8	3470	0	154160
P49736	3658.8	7282.8	4366.2	5645.3	8399.4	3910.3	4288.5	9048.8	385.83	223110
Q86TX2;P49753	361.09	716.99	0	0	521.94	0	0	877.59	0	48177
P49756	0	0	0	373.49	0	0	0	347.16	0	5853.7
P49773	0	0	0	0	0	0	0	0	0	0
P49821	0	0	0	0	0	0	0	0	0	0
P49915	638.11	828.92	542.69	337.8	0	705.32	0	1451.4	0	32882
P50213	1351.3	1954.8	1372.8	0	1637.5	1422.4	3090.1	5106.8	0	192150
P50238	0	0	0	0	0	0	0	0	0	0
P50395;P31150	5741.4	8046.5	5681.2	3121.4	7095.4	6156.3	6345.8	9336.6	0	327000
P50440	878.36	1504.9	1451.9	3281	3006.7	1660.7	1373.2	2435.8	0	79019
P50454	30388	24543	13447	8478.4	22764	22549	17699	36437	284.04	1126900
Q8IZP2;P50502;Q8NFI4	5238.6	8096.1	3644.7	2737.6	4935.9	4613.3	4206.2	9854.1	0	335380
P50552	1091.6	919.79	559.2	549.83	1671.4	1082.6	862.83	1222.6	0	17296
P50914	2465.1	2269.9	1806.3	1575.3	1473.4	1761	1265.4	1060.8	0	35295
P50990	9181.1	10269	7294.1	8913.1	8339.1	9280.3	9157.1	8716.2	0	381370
P50991	11512	17565	7737.6	10952	17016	12408	11284	18265	411.9	664730
P51114;Q06787;P51116	0	0	0	0	0	0	0	0	0	1588.8
P51148;P61020;P20339	1691.4	1557.2	925.07	968.21	1183	1009.1	1381.6	2380	0	73198
P51149	5358.7	6922	4037.8	2849	5138.4	4062	7530.7	12058	0	426130
P51571	0	0	0	0	0	0	0	0	0	0
P51572	0	0	0	0	0	0	0	0	0	0
P51610	0	965	498.58	0	606.58	398.68	0	533.21	0	20941
P51659	0	0	0	0	0	0	0	0	0	0
P51665	2072.7	2194.2	3573.9	2024.3	2280.8	1743.5	1413.5	3164.7	0	83120
P51858	4113.7	3987.5	3098	1899.1	3094.2	2642.7	3173.5	6756.2	0	220430
P51991	11018	13015	9258.9	7432.9	12208	10831	13780	27224	545.22	983060
P52209	4258.6	4136.8	5099.9	4632	5929.8	5279.1	4200.5	8310.5	0	322630
P52272	9719.7	10757	6577.9	6172.2	8727.1	7498.6	9958.1	15515	0	575020
P52434	2119.9	584.26	357.49	274.53	922.01	499.19	384.18	859.44	0	17539
P52565	5027.5	7969.4	3010.8	3056	4310.7	3381.2	1885.3	4539.2	0	120540
P52566	4298.5	4228.3	6868.2	3938.6	7463.7	6360.6	4768.1	5867.2	455.04	225880
P52597	7279.2	5773.8	4520.2	5121.7	5478.6	5204.3	5552.3	8952.9	0	331260
P52789	0	0	0	0	0	0	0	0	0	0
P52907	0	0	0	0	0	0	0	0	0	0
P52926	0	0	0	0	0	0	0	0	0	0
P53367	522.36	663.31	521.12	363.37	0	556.99	958.31	1766.9	0	55470
P53597	1677.7	1572.1	776.36	628.47	2340.3	824.67	2096.6	4843	0	158130
P53618	1532.3	2400.6	1589.7	2083.4	2320.9	1159.5	1338.2	1592.9	0	66801
P53621	2724	2067.7	2382.2	1654.3	3064.7	3382.9	1745.7	4182.8	0	119110
P53680	1937.8	2685.4	2184.7	1939.7	3252.2	2205.9	1813.5	2832.7	0	79390
P53999	0	0	0	0	0	0	0	0	0	0
P54136	3031.6	5201.3	2620.4	2594.5	6535.5	2891.8	2749.9	5221.8	0	165340
P54577	2222.1	2313.5	2278.6	1176.4	3380.9	1719.3	1836.9	4463.1	0	119750
P54578	1044	1585.4	1390.9	921	1982.2	934.63	1437.2	1065.8	0	26066
P54727;P54725	4050	4909.6	1985.2	3968.9	2752.2	3035.4	3795.1	7089.4	0	271200
P54819	316.19	400.07	639.18	382.74	824.75	620.71	550.4	1355.3	0	41616
P54886	2948.1	2237.9	2422	2306.2	3483.4	1804.7	2066.4	6967.9	0	203020
P54920	1219.3	1615.1	0	726.62	333.63	858.43	757.77	2514	0	66192
P55036	664.88	440.07	0	400.08	322.31	265.79	638.83	669.62	0	26733
P55060	3849.7	13332	3593.2	3718.9	3937.2	3170.4	2206.2	4116.4	0	134760
P55061	1299.4	989.01	970.21	782.36	2071.4	1285.3	1312	3275.1	0	83478
P55072	26501	30974	23792	17831	41342	25951	29594	54034	1008.2	1905000
P55084	443.9	1693.1	1031.6	1495.6	3252.7	861.37	1956.8	4107	0	97634
P55145	772.11	1042.1	846.13	410.36	534.68	1042.6	2182.7	3770.3	0	171970
P55209;Q99733	3447.2	3798.7	4739.1	2838	3583.6	2610.2	3077.1	5100.5	0	159940
P55327	0	0	0	0	0	0	0	0	0	0
P55735	688.19	458.45	316.54	0	0	293.92	985.3	1047.4	0	45865
P55769	3984.8	5498.9	4398.8	3778	7110.6	4318.6	2848.5	7431.2	0	224240
P55795	0	0	0	0	0	0	0	0	0	0
P55809	2606	2434	1381.1	2083.2	2850.8	2599.9	4403.3	7744.1	0	289920
P55884	2759.5	3442.3	2316.7	2130	3223.3	2237.5	2469.7	5101.3	0	152770
P56192	0	0	0	0	0	0	0	0	0	0
P56211	0	0	0	0	0	0	0	0	0	7713.6
Q5VTU8;P56381	0	0	0	0	0	0	0	0	0	0
P56537	0	0	0	0	0	0	0	0	0	0
P56556	0	0	0	0	0	0	0	0	0	0
P59998	5676.3	12889	4463.9	4159.5	7321.4	4646.9	3977.9	7777.6	0	273480
P60174	16016	25134	8254.5	10278	18305	13921	14797	32632	352.25	1040100
P60228	2675	6779.7	2266.7	4860.6	6564.9	3057.1	3307.8	5268.4	0	194340
P60468	846.75	960.95	0	416.2	647.5	736.26	1088.2	3313.5	0	92480
P60510	0	0	0	0	0	0	0	0	0	0
P60660;P14649	17170	22200	6634.1	5602.8	12647	14260	9722.1	20121	0	655420
P60709;Q6S8J3;Q562R1;A5A3E0;P0CG38;P0CG39;Q9BYX7	251710	341450	107040	122480	147210	172900	186710	281920	5452.2	12809000
P60842	17149	21756	11262	11720	19799	14940	11961	22335	0	808550
P60866	0	564.96	747.98	465.96	0	449.78	423.39	1209.4	0	36058
P60900	5185.7	4922.4	5634.2	4843	5833.1	4174.2	5656.5	13013	0	382090
P60903	867.55	851.46	717.93	862.36	2036.9	2344.3	3391.9	6352.9	0	229090
P60953;P17081;Q9H4E5	6174.9	5756.6	5085.9	4095.8	5733.2	6161.9	5983.5	10675	0	338300
P60981	2648.5	3247.1	1792.2	5367.6	2033.6	2105.7	2351.3	3024.4	0	104170
P61009	0	0	0	0	0	0	0	0	0	0
P61011	2895.4	2813.6	1258.5	1293.1	2210.3	2134	3126	5018	0	159140
P61019;Q8WUD1	2694	2612.2	481.55	1435	1865.3	1779.6	2409.2	5136.7	0	162680
P61026	0	0	0	0	0	0	0	0	0	0
P61081	0	0	0	0	0	0	0	0	0	0
P61086	0	611.97	0	0	0	0	286.48	327.72	0	15676
P61088;Q5JXB2	2008.7	2444.2	939.46	907.02	2592.4	2593.9	753.73	1245.4	0	69185
P61106	4918.9	4934.2	3734.3	3579.3	6785.1	5859.6	2587.8	8348.4	513.84	236640
P61158;Q9P1U1	4481	4459.5	2001.5	3061.5	2817.3	2689.6	5360.1	7931.7	0	273360
P61160	2804.9	2621.8	1768	1830.5	2460.3	3249.9	2896.8	5244.9	303.83	132630
P61163;P42025	217.52	348.06	198.06	0	670.67	251.31	0	190.12	0	6538.2
P61201	0	0	0	0	0	0	0	0	0	0
P61204;P84077;P84085	5498.2	5613.2	3289.9	3028.2	4048.1	3157.8	3529.6	6136.4	0	194610
P61221	359.61	667.74	324.7	0	581.19	423.83	299.38	857.45	0	19479
P61224;P62834;A6NIZ1	2853.9	2777.3	2359.8	1638.6	4713.1	2463	4228.1	7770.3	0	266720
P61247	26534	30219	14488	15191	28027	29100	22915	33302	411.28	1280400
P61254;Q9UNX3;Q2PPJ7	5982	49131	16981	6084.9	18491	5276.6	6507.2	7098.1	0	222970
P61289	0	0	0	0	0	0	0	0	0	0
P61313	11371	15216	8893.2	8295.2	11430	11156	12668	20499	601.7	666660
P61326;Q96A72	455.43	0	0	0	454.71	278.96	978.31	1752.8	0	54591
P61353	9019.5	10466	6160.3	5818.7	9372.4	7928	7344.7	15239	0	470430
P61421	2422.5	2410.7	2295.2	2535.1	3400.5	1689	3891.7	7078.1	0	206260
P61513;A6NKH3;P17405	5990.8	5738.8	3674.7	5258.1	5831.3	5627.3	7329.2	14773	0	453900
P61604	13683	15402	7360.4	6515.7	12667	10491	9295.3	12357	0	542800
P61619;Q9H9S3	5266.3	4687.7	3956.2	3225	3661.2	3254.4	5504.6	6561.8	481.79	249180
P61626	12515	20301	19468	17628	16888	29081	4031.8	481.12	0	3335.3
P61803	0	0	0	0	0	0	0	0	0	0
P61916	3358.8	2839.6	3485.1	1285.2	1794.8	1956.8	4445.6	4680.4	565.35	149660
P61956;Q6EEV6;P55854	1889.5	2132.9	1019.7	812.12	1972.1	1577.8	1662.9	4216.7	0	119450
P61978	18723	19135	17062	11082	22622	16470	14931	27799	841.39	1035100
P61981	4711.1	6613.8	4032.5	4869.7	5083.4	3998.1	4112.8	8223.1	0	282350
